"province","year","fuel","pct"
"BJ",2011,"refined liquids",0.0217645035924899
"BJ",2012,"gas",0.085575690211623
"BJ",2012,"refined liquids",0.022679653012192
"BJ",2013,"gas",0.11591327078795
"BJ",2013,"refined liquids",0.0174172525551584
"BJ",2014,"gas",0.133244940351276
"BJ",2014,"refined liquids",0.0253303585450218
"BJ",2015,"gas",0.133244940351276
"BJ",2015,"refined liquids",0.0253303585450218
"CQ",1971,"gas",0
"CQ",1971,"refined liquids",0
"CQ",1972,"gas",0
"CQ",1972,"refined liquids",0
"CQ",1973,"gas",0
"CQ",1973,"refined liquids",0
"CQ",1974,"gas",0
"CQ",1974,"refined liquids",0
"CQ",1975,"gas",0
"CQ",1975,"refined liquids",0
"CQ",1976,"gas",0
"CQ",1976,"refined liquids",0
"CQ",1977,"gas",0
"CQ",1977,"refined liquids",0
"CQ",1978,"gas",0
"CQ",1978,"refined liquids",0
"CQ",1979,"gas",0
"CQ",1979,"refined liquids",0
"CQ",1980,"gas",0
"CQ",1980,"refined liquids",0
"CQ",1981,"gas",0
"CQ",1981,"refined liquids",0
"CQ",1982,"gas",0
"CQ",1982,"refined liquids",0
"CQ",1983,"gas",0
"CQ",1983,"refined liquids",0
"CQ",1984,"gas",0
"CQ",1984,"refined liquids",0
"CQ",1985,"gas",0
"CQ",1985,"refined liquids",0
"CQ",1986,"gas",0
"CQ",1986,"refined liquids",0
"CQ",1987,"gas",0
"CQ",1987,"refined liquids",0
"CQ",1988,"gas",0
"CQ",1988,"refined liquids",0
"CQ",1989,"gas",0
"CQ",1989,"refined liquids",0
"CQ",1990,"gas",0
"CQ",1990,"refined liquids",0
"CQ",1991,"gas",0
"CQ",1991,"refined liquids",0
"CQ",1992,"gas",0
"CQ",1992,"refined liquids",0
"CQ",1993,"gas",0
"CQ",1993,"refined liquids",0
"CQ",1994,"gas",0
"CQ",1994,"refined liquids",0
"CQ",1995,"gas",0
"CQ",1995,"refined liquids",0
"CQ",1996,"gas",0
"CQ",1996,"refined liquids",0
"CQ",1997,"gas",0.0730854300047689
"CQ",1997,"refined liquids",0.00026053984707252
"CQ",1998,"gas",0.018097928210803
"CQ",1998,"refined liquids",0.00097162152233366
"CQ",1999,"gas",0.0152447255464462
"CQ",1999,"refined liquids",0.0014002567990229
"CQ",2000,"gas",0.0122328167350484
"CQ",2000,"refined liquids",0.000469143798193814
"CQ",2001,"gas",0.00669200560971646
"CQ",2001,"refined liquids",0.000400408049404418
"CQ",2002,"gas",0.00362798392566248
"CQ",2002,"refined liquids",0.00046052857424994
"CQ",2003,"gas",0.000724285362634446
"CQ",2003,"refined liquids",0.000938009882657162
"CQ",2004,"gas",0.00695673327889253
"CQ",2004,"refined liquids",0.00106296845712173
"CQ",2005,"gas",0.00696481887346533
"CQ",2005,"refined liquids",0.00169894547226824
"CQ",2006,"gas",0.00600676980588824
"CQ",2006,"refined liquids",0.00158408778596882
"CQ",2007,"gas",0.000852378868355092
"CQ",2007,"refined liquids",0.00369404009142876
"CQ",2008,"gas",0.000457399765737708
"CQ",2008,"refined liquids",0.00284845423774804
"CQ",2009,"gas",0.00503071159493846
"CQ",2009,"refined liquids",0.00329606884596304
"CQ",2010,"gas",0.000270645273612556
"CQ",2010,"refined liquids",0.00259592416403484
"CQ",2011,"gas",0.000360516141352804
"CQ",2011,"refined liquids",0.00258854234577506
"CQ",2012,"gas",0.00106536467436078
"CQ",2012,"refined liquids",0.00357984161112268
"CQ",2013,"gas",0.00198491321706145
"CQ",2013,"refined liquids",0.00350662343282352
"CQ",2014,"gas",0.000520280777216224
"CQ",2014,"refined liquids",0.00462081250004657
"CQ",2015,"gas",0.000520280777216224
"CQ",2015,"refined liquids",0.00462081250004657
"FJ",1971,"gas",0
"FJ",1971,"refined liquids",0
"FJ",1972,"gas",0
"FJ",1972,"refined liquids",0
"FJ",1973,"gas",0
"FJ",1973,"refined liquids",0
"FJ",1974,"gas",0
"FJ",1974,"refined liquids",0
"FJ",1975,"gas",0
"FJ",1975,"refined liquids",0
"FJ",1976,"gas",0
"FJ",1976,"refined liquids",0
"FJ",1977,"gas",0
"FJ",1977,"refined liquids",0
"FJ",1978,"gas",0
"FJ",1978,"refined liquids",0
"FJ",1979,"gas",0
"FJ",1979,"refined liquids",0
"FJ",1980,"gas",0
"FJ",1980,"refined liquids",0
"FJ",1981,"gas",0
"FJ",1981,"refined liquids",0
"FJ",1982,"gas",0
"FJ",1982,"refined liquids",0
"FJ",1983,"gas",0
"FJ",1983,"refined liquids",0
"FJ",1984,"gas",0
"FJ",1984,"refined liquids",0
"FJ",1985,"gas",0
"FJ",1985,"refined liquids",0.00496676226585712
"FJ",1986,"gas",0
"FJ",1986,"refined liquids",0.00520892062597178
"FJ",1987,"gas",0
"FJ",1987,"refined liquids",0.00543969311071088
"FJ",1988,"gas",0
"FJ",1988,"refined liquids",0.00566816370393921
"FJ",1989,"gas",0
"FJ",1989,"refined liquids",0.00589436667583282
"FJ",1990,"gas",0
"FJ",1990,"refined liquids",0.00609223931464576
"FJ",1991,"gas",0
"FJ",1991,"refined liquids",0.00749892891027012
"FJ",1992,"gas",0
"FJ",1992,"refined liquids",0.00891342573259017
"FJ",1993,"gas",0
"FJ",1993,"refined liquids",0.0103357949584641
"FJ",1994,"gas",0
"FJ",1994,"refined liquids",0.0117661024922601
"FJ",1995,"gas",0
"FJ",1995,"refined liquids",0.0131405999253766
"FJ",1996,"gas",0
"FJ",1996,"refined liquids",0.0155565059607854
"FJ",1997,"gas",0
"FJ",1997,"refined liquids",0.0119636220059087
"FJ",1998,"gas",0
"FJ",1998,"refined liquids",0.0206160048225692
"FJ",1999,"gas",0
"FJ",1999,"refined liquids",0.021493311872964
"FJ",2000,"gas",0
"FJ",2000,"refined liquids",0.0219911052807542
"FJ",2001,"gas",0
"FJ",2001,"refined liquids",0.0171903325602575
"FJ",2002,"gas",0
"FJ",2002,"refined liquids",0.0111591117805858
"FJ",2003,"gas",0
"FJ",2003,"refined liquids",0.0166375103000675
"FJ",2004,"gas",0
"FJ",2004,"refined liquids",0.0149434295994857
"FJ",2005,"gas",0
"FJ",2005,"refined liquids",0.00670780006058568
"FJ",2006,"gas",0
"FJ",2006,"refined liquids",0.00576002447138203
"FJ",2007,"gas",0.00157811859055457
"FJ",2007,"refined liquids",0.00433611909408432
"FJ",2008,"gas",0.00550904266559785
"FJ",2008,"refined liquids",0.00597549649055427
"FJ",2009,"gas",0.0213850525056801
"FJ",2009,"refined liquids",0.0524381933756388
"FJ",2010,"gas",0.0967277033475219
"FJ",2010,"refined liquids",0.108705820274036
"FJ",2011,"gas",0.0927907010385371
"FJ",2011,"refined liquids",0.174492286976506
"FJ",2012,"gas",0.0872553723066635
"FJ",2012,"refined liquids",0.197674029384387
"FJ",2013,"gas",0.0993750115172057
"FJ",2013,"refined liquids",0.185638109392899
"FJ",2014,"gas",0.0709503626750086
"FJ",2014,"refined liquids",0.220539258519293
"FJ",2015,"gas",0.0709503626750086
"FJ",2015,"refined liquids",0.220539258519293
"GD",1971,"gas",0
"GD",1971,"refined liquids",0
"GD",1972,"gas",0
"GD",1972,"refined liquids",0
"GD",1973,"gas",0
"GD",1973,"refined liquids",0
"GD",1974,"gas",0
"GD",1974,"refined liquids",0
"GD",1975,"gas",0
"GD",1975,"refined liquids",0
"GD",1976,"gas",0
"GD",1976,"refined liquids",0
"GD",1977,"gas",0
"GD",1977,"refined liquids",0
"GD",1978,"gas",0
"GD",1978,"refined liquids",0
"GD",1979,"gas",0
"GD",1979,"refined liquids",0
"GD",1980,"gas",0
"GD",1980,"refined liquids",0
"GD",1981,"gas",0
"GD",1981,"refined liquids",0
"GD",1982,"gas",0
"GD",1982,"refined liquids",0
"GD",1983,"gas",0
"GD",1983,"refined liquids",0
"GD",1984,"gas",0
"GD",1984,"refined liquids",0
"GD",1985,"gas",0
"GD",1985,"refined liquids",0.115807877710981
"GD",1986,"gas",0
"GD",1986,"refined liquids",0.129171441426381
"GD",1987,"gas",0
"GD",1987,"refined liquids",0.142192162169556
"GD",1988,"gas",0
"GD",1988,"refined liquids",0.155083004835729
"GD",1989,"gas",0
"GD",1989,"refined liquids",0.167845903028002
"GD",1990,"gas",0
"GD",1990,"refined liquids",0.179712945914559
"GD",1991,"gas",0
"GD",1991,"refined liquids",0.236259512941574
"GD",1992,"gas",0
"GD",1992,"refined liquids",0.29311991741291
"GD",1993,"gas",0
"GD",1993,"refined liquids",0.350296779329163
"GD",1994,"gas",0
"GD",1994,"refined liquids",0.407792747935616
"GD",1995,"gas",0
"GD",1995,"refined liquids",0.463360273110686
"GD",1996,"gas",0.0223316054378534
"GD",1996,"refined liquids",0.479039892024994
"GD",1997,"gas",0.0107035479388006
"GD",1997,"refined liquids",0.50111328560537
"GD",1998,"gas",0.0316023332154326
"GD",1998,"refined liquids",0.548621704679572
"GD",1999,"gas",0.0256119725325502
"GD",1999,"refined liquids",0.540595165043324
"GD",2000,"gas",0.0158960764869553
"GD",2000,"refined liquids",0.574804657752332
"GD",2001,"gas",0.0109050610593305
"GD",2001,"refined liquids",0.667707210315132
"GD",2002,"gas",0.0123280611905577
"GD",2002,"refined liquids",0.695113761875669
"GD",2003,"gas",0.0125862280460205
"GD",2003,"refined liquids",0.593017300664291
"GD",2004,"gas",0.0127814055548661
"GD",2004,"refined liquids",0.651053454857562
"GD",2005,"gas",0.0133759057168168
"GD",2005,"refined liquids",0.681014850961179
"GD",2006,"gas",0.0440063590874183
"GD",2006,"refined liquids",0.733300979348787
"GD",2007,"gas",0.137105140974917
"GD",2007,"refined liquids",0.702557514864484
"GD",2008,"gas",0.12597105652727
"GD",2008,"refined liquids",0.619913984144935
"GD",2009,"gas",0.134165163977898
"GD",2009,"refined liquids",0.533385154042199
"GD",2010,"gas",0.281499737547364
"GD",2010,"refined liquids",0.225238608775226
"GD",2011,"gas",0.264303600188574
"GD",2011,"refined liquids",0.150533600249325
"GD",2012,"gas",0.227671997347968
"GD",2012,"refined liquids",0.189944641302732
"GD",2013,"gas",0.215585743865823
"GD",2013,"refined liquids",0.168786974016124
"GD",2014,"gas",0.226874094936604
"GD",2014,"refined liquids",0.177447066703572
"GD",2015,"gas",0.226874094936604
"GD",2015,"refined liquids",0.177447066703572
"GS",1971,"gas",0
"GS",1971,"refined liquids",0
"GS",1972,"gas",0
"GS",1972,"refined liquids",0
"GS",1973,"gas",0
"GS",1973,"refined liquids",0
"GS",1974,"gas",0
"GS",1974,"refined liquids",0
"GS",1975,"gas",0
"GS",1975,"refined liquids",0
"GS",1976,"gas",0
"GS",1976,"refined liquids",0
"GS",1977,"gas",0
"GS",1977,"refined liquids",0
"GS",1978,"gas",0
"GS",1978,"refined liquids",0
"GS",1979,"gas",0
"GS",1979,"refined liquids",0
"GS",1980,"gas",0
"GS",1980,"refined liquids",0
"GS",1981,"gas",0
"GS",1981,"refined liquids",0
"GS",1982,"gas",0
"GS",1982,"refined liquids",0
"GS",1983,"gas",0
"GS",1983,"refined liquids",0
"GS",1984,"gas",0
"GS",1984,"refined liquids",0
"GS",1985,"gas",0
"GS",1985,"refined liquids",0.00092490917427507
"GS",1986,"gas",0
"GS",1986,"refined liquids",0.00112659413375084
"GS",1987,"gas",0
"GS",1987,"refined liquids",0.00132458904472688
"GS",1988,"gas",0
"GS",1988,"refined liquids",0.00152060901139678
"GS",1989,"gas",0
"GS",1989,"refined liquids",0.00171468343640124
"GS",1990,"gas",0
"GS",1990,"refined liquids",0.00189870796436515
"GS",1991,"gas",0
"GS",1991,"refined liquids",0.00188591532829515
"GS",1992,"gas",0
"GS",1992,"refined liquids",0.00187305169219063
"GS",1993,"gas",0
"GS",1993,"refined liquids",0.00186011646332395
"GS",1994,"gas",0
"GS",1994,"refined liquids",0.00184710904235136
"GS",1995,"gas",0.0365141153188445
"GS",1995,"refined liquids",0.00182516522400186
"GS",1996,"gas",0.0154798456463671
"GS",1996,"refined liquids",0.00123374128181496
"GS",1997,"gas",0.0058627199601879
"GS",1997,"refined liquids",0.00270346064311492
"GS",1998,"gas",0.00255151119037551
"GS",1998,"refined liquids",0.00228094835190529
"GS",1999,"gas",0.00732024697736301
"GS",1999,"refined liquids",0.00325222113174915
"GS",2000,"gas",0.0128032134721328
"GS",2000,"refined liquids",0.00170518021397693
"GS",2001,"gas",0.0140713766484417
"GS",2001,"refined liquids",0.00199074594762228
"GS",2002,"gas",0.0118541555358084
"GS",2002,"refined liquids",0.00150559444658697
"GS",2003,"gas",0.0102483655935471
"GS",2003,"refined liquids",0.00104810149587508
"GS",2004,"gas",0.0106207534804591
"GS",2004,"refined liquids",0.000680110589130088
"GS",2005,"gas",0.00521035472145273
"GS",2005,"refined liquids",0.00076189359982434
"GS",2006,"gas",0.00303764404632371
"GS",2006,"refined liquids",0.000863942475855525
"GS",2007,"gas",0.00274357044927918
"GS",2007,"refined liquids",0.00185554107755082
"GS",2008,"gas",0.000995887158962027
"GS",2008,"refined liquids",0.0022360939132934
"GS",2009,"gas",0.000467321549890706
"GS",2009,"refined liquids",0.00201957286374019
"GS",2010,"gas",0.000318958810059094
"GS",2010,"refined liquids",0.00129181225003394
"GS",2011,"gas",0.000909691699731437
"GS",2011,"refined liquids",0.0023151223625876
"GS",2012,"gas",0.000831159947937781
"GS",2012,"refined liquids",0.0088960270854496
"GS",2013,"gas",0.000794865806954535
"GS",2013,"refined liquids",0.0116047113390389
"GS",2014,"gas",0.000574082503350002
"GS",2014,"refined liquids",0.013109366043952
"GS",2015,"gas",0.000574082503350002
"GS",2015,"refined liquids",0.013109366043952
"GX",1971,"gas",0
"GX",1971,"refined liquids",0
"GX",1972,"gas",0
"GX",1972,"refined liquids",0
"GX",1973,"gas",0
"GX",1973,"refined liquids",0
"GX",1974,"gas",0
"GX",1974,"refined liquids",0
"GX",1975,"gas",0
"GX",1975,"refined liquids",0
"GX",1976,"gas",0
"GX",1976,"refined liquids",0
"GX",1977,"gas",0
"GX",1977,"refined liquids",0
"GX",1978,"gas",0
"GX",1978,"refined liquids",0
"GX",1979,"gas",0
"GX",1979,"refined liquids",0
"GX",1980,"gas",0
"GX",1980,"refined liquids",0
"GX",1981,"gas",0
"GX",1981,"refined liquids",0
"GX",1982,"gas",0
"GX",1982,"refined liquids",0
"GX",1983,"gas",0
"GX",1983,"refined liquids",0
"GX",1984,"gas",0
"GX",1984,"refined liquids",0
"GX",1985,"gas",0
"GX",1985,"refined liquids",0
"GX",1986,"gas",0
"GX",1986,"refined liquids",0
"GX",1987,"gas",0
"GX",1987,"refined liquids",0
"GX",1988,"gas",0
"GX",1988,"refined liquids",0
"GX",1989,"gas",0
"GX",1989,"refined liquids",0
"GX",1990,"gas",0
"GX",1990,"refined liquids",0.00388099789474578
"GX",1991,"gas",0
"GX",1991,"refined liquids",0.00352310611985393
"GX",1992,"gas",0
"GX",1992,"refined liquids",0.00316322802031179
"GX",1993,"gas",0
"GX",1993,"refined liquids",0.00280134701373933
"GX",1994,"gas",0
"GX",1994,"refined liquids",0.00243744633266247
"GX",1995,"gas",0.044121222676937
"GX",1995,"refined liquids",0.00206149771484045
"GX",1996,"gas",0.00114521053527453
"GX",1996,"refined liquids",0.00261045965985584
"GX",1997,"gas",0.0149775179291525
"GX",1997,"refined liquids",0.00143519686425416
"GX",1998,"gas",0.0366781001077808
"GX",1998,"refined liquids",0.00117683065456923
"GX",1999,"gas",0.0509790139623049
"GX",1999,"refined liquids",0.00222494791991983
"GX",2000,"gas",0.0707098139617839
"GX",2000,"refined liquids",0.000570117014236901
"GX",2001,"gas",0.0690787835900014
"GX",2001,"refined liquids",0.000584488372500548
"GX",2002,"gas",0.0790170835057327
"GX",2002,"refined liquids",0.0007821368853778
"GX",2003,"gas",0.0769752462910828
"GX",2003,"refined liquids",0.000264227267867668
"GX",2004,"gas",0.0597489129888304
"GX",2004,"refined liquids",0.000758838157541113
"GX",2005,"gas",0.054679055222694
"GX",2005,"refined liquids",0.00150978274557777
"GX",2006,"gas",0.0328716925651113
"GX",2006,"refined liquids",0.00140600003135241
"GX",2007,"gas",0.0283969058662948
"GX",2007,"refined liquids",0.00364271642574416
"GX",2008,"gas",0.0225311540677269
"GX",2008,"refined liquids",0.0021000523712161
"GX",2009,"gas",0.0127841420297278
"GX",2009,"refined liquids",0.001605401833804
"GX",2010,"gas",0.00437282239597146
"GX",2010,"refined liquids",0.0011185592438359
"GX",2011,"gas",0.0022826523206224
"GX",2011,"refined liquids",0.00243343527554987
"GX",2012,"gas",0.00290594274814522
"GX",2012,"refined liquids",0.0044552833571315
"GX",2013,"gas",0.00311341522380577
"GX",2013,"refined liquids",0.0027089698228923
"GX",2014,"gas",0.00450615632755721
"GX",2014,"refined liquids",0.00297311431545649
"GX",2015,"gas",0.00450615632755721
"GX",2015,"refined liquids",0.00297311431545649
"GZ",1971,"gas",0
"GZ",1971,"refined liquids",0
"GZ",1972,"gas",0
"GZ",1972,"refined liquids",0
