"region","sector","fuel","year","multiplier","GCAM_region_ID","value","supplysector","subsector","stub.technology","minicam.energy.input","calibration","secondary.output"
"AH","industry_energy","coal",2015,0.0341528045027617,11,0.325394589551693,"other industrial energy use","coal","coal","delivered coal","input",NA
"AH","industry_energy","electricity",1975,0.0314289796913266,11,0.0187658897277306,"other industrial energy use","electricity","electricity","elect_td_ind","input",NA
"AH","industry_energy","electricity",1990,0.029339580286468,11,0.0455266288952712,"other industrial energy use","electricity","electricity","elect_td_ind","input",NA
"AH","industry_energy","electricity",2005,0.0241037943920775,11,0.120159513679123,"other industrial energy use","electricity","electricity","elect_td_ind","input",NA
"AH","industry_energy","electricity",2010,0.0237117824169943,11,0.0986645722231566,"other industrial energy use","electricity","electricity","elect_td_ind","input",NA
"AH","industry_energy","electricity",2015,0.0274367689298205,11,0.20624280315538,"other industrial energy use","electricity","electricity","elect_td_ind","input",NA
"AH","industry_energy","gas",1975,0,11,0,"other industrial energy use","gas","gas","wholesale gas","input",NA
"AH","industry_energy","gas",1990,0,11,0,"other industrial energy use","gas","gas","wholesale gas","input",NA
"AH","industry_energy","gas",2005,0.00123720992200078,11,0.00052696698309395,"other industrial energy use","gas","gas","wholesale gas","input",NA
"AH","industry_energy","gas",2010,0.0146433114745795,11,0.0136101969343861,"other industrial energy use","gas","gas","wholesale gas","input",NA
"AH","industry_energy","gas",2015,0.012920982235764,11,0.00923167440705407,"other industrial energy use","gas","gas","wholesale gas","input",NA
"AH","industry_energy","heat",1975,0.00142807126631161,11,0,"other industrial energy use","district heat","district heat","district heat","input",NA
"AH","industry_energy","heat",1990,0.00453906842962392,11,0.00236670530618237,"other industrial energy use","district heat","district heat","district heat","input",NA
"AH","industry_energy","heat",2005,0.0214926890524411,11,0.0362151936145603,"other industrial energy use","district heat","district heat","district heat","input",NA
"AH","industry_energy","heat",2010,0.0179874277405512,11,0.0393859870949748,"other industrial energy use","district heat","district heat","district heat","input",NA
"AH","industry_energy","heat",2015,0.016647714857805,11,0.0454029450949366,"other industrial energy use","district heat","district heat","district heat","input",NA
"AH","industry_energy","refined liquids",1975,0.0290572066546522,11,0.0441183388350728,"other industrial energy use","refined liquids","refined liquids","refined liquids industrial","input",NA
"AH","industry_energy","refined liquids",1990,0.0253733259654224,11,0.0430126493185887,"other industrial energy use","refined liquids","refined liquids","refined liquids industrial","input",NA
"AH","industry_energy","refined liquids",2005,0.0165822513511882,11,0.0460426425625585,"other industrial energy use","refined liquids","refined liquids","refined liquids industrial","input",NA
"AH","industry_energy","refined liquids",2010,0.0165639415493607,11,0.0314090563609262,"other industrial energy use","refined liquids","refined liquids","refined liquids industrial","input",NA
"AH","industry_energy","refined liquids",2015,0.0240185451289844,11,0.0217306825689602,"other industrial energy use","refined liquids","refined liquids","refined liquids industrial","input",NA
"BJ","chp_elec","biomass",1975,NA,NA,0,"other industrial energy use","biomass","biomass cogen","delivered biomass","input","electricity"
"BJ","chp_elec","biomass",1990,NA,NA,0,"other industrial energy use","biomass","biomass cogen","delivered biomass","input","electricity"
"BJ","chp_elec","biomass",2005,NA,NA,0,"other industrial energy use","biomass","biomass cogen","delivered biomass","input","electricity"
"BJ","chp_elec","biomass",2010,NA,NA,0,"other industrial energy use","biomass","biomass cogen","delivered biomass","input","electricity"
"BJ","chp_elec","biomass",2015,NA,NA,0,"other industrial energy use","biomass","biomass cogen","delivered biomass","input","electricity"
"BJ","chp_elec","coal",1975,NA,NA,0,"other industrial energy use","coal","coal cogen","delivered coal","input","electricity"
"BJ","chp_elec","coal",1990,NA,NA,0,"other industrial energy use","coal","coal cogen","delivered coal","input","electricity"
"BJ","chp_elec","coal",2005,NA,NA,0,"other industrial energy use","coal","coal cogen","delivered coal","input","electricity"
"BJ","chp_elec","coal",2010,NA,NA,0,"other industrial energy use","coal","coal cogen","delivered coal","input","electricity"
