# File: China_Compendium_of_Statistics.csv
# Title: Historical population by region
# Units: 10000 persons
# Description: Region population by historical years
# Source: China Compendium of Statistics (60-year statistics), 1949-2008
# Column types: cnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
Region,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Hainan,496.82,505.15,516.36,528.45,540.3,552.53,560.77,571.38,580.66,589.31,597.51,605.63,615.08,626.85,639.2,662.77,674.13,686.4,701,711.39,723.79,734.14,743,752.82,761.93,788.05,795.55,803.13,810.52,817.83,828,835.88,845.03,854.18
Chongqing,2592.59,2615.57,2628.06,2635.56,2653.69,2664.79,2694.05,2721.69,2738.63,2747.75,2768.26,2807.6,2845.14,2873.34,2897.01,2920.9,2938.99,2950.78,2964.92,2985.59,3001.77,2875.3,2873.36,2870.75,2860.37,2848.82,2829.21,2814.83,2803.19,2793.32,2798,2808,2816,2839
Sichuan,6874.7,6963,7031.3,7071.9,7120.5,7154.8,7215.6,7300.4,7336.9,7364,7419.3,7511.9,7613.2,7716.4,7803.2,7892.5,7947.8,7992.2,8037.4,8098.7,8161.2,8215.4,8264.7,8315.7,8358.6,8407.5,8436.6,8474.5,8529.4,8595.3,8212,8169,8127,8138
Guizhou,2530.95,2585.11,2640.14,2686.4,2730.99,2776.67,2826.78,2875.21,2901.46,2931.85,2972.18,3025.86,3072.58,3127.27,3171,3267.53,3314.63,3360.96,3408.69,3458.41,3508.08,3555.41,3605.81,3657.6,3710.06,3755.72,3798.51,3837.28,3869.66,3903.7,3730,3757.18,3762.36,3793
Yunnan,2884.29,2951.75,3024.59,3091.47,3134.79,3173.39,3222.77,3283.1,3330.8,3372.1,3418.1,3480,3534,3594,3648,3730.6,3782.1,3831.6,3885.2,3939.2,3989.6,4041.5,4094,4143.8,4192.4,4240.8,4287.4,4333.1,4375.6,4415.2,4450.4,4483,4514,4543
Tibet,169.11,172.4,175.62,178.82,182.69,185.28,185.96,189.25,193.14,196.68,199.48,202.49,207.95,212.31,215.91,221.47,225.03,228.53,232.22,236.14,239.84,243.7,247.6,251.54,255.51,259.83,262.95,266.88,270.17,273.68,277,281,284.15,287.08
Shaanxi,2692,2722,2751,2779,2807,2831,2865,2904,2931,2966,3002,3042,3088,3140,3198,3316,3363,3405,3443,3481,3513,3543,3570,3596,3618,3644,3659,3674,3690,3705,3720,3735,3748,3762
Gansu,1804.02,1825.96,1847.46,1870.05,1893.79,1918.43,1941.4,1974.88,1999.84,2025.88,2052.89,2085.39,2115.73,2148.15,2184.86,2254.67,2284.92,2314.19,2345.23,2387.25,2437.95,2466.86,2494.2,2519.37,2542.58,2556.89,2575.24,2592.58,2603.34,2618.78,2594.36,2606.25,2617.16,2628.12
Qinghai,337.49,346.58,356.75,364.86,372.02,376.9,381.6,392.79,392.57,401.61,407.38,421.12,427.9,434.2,440.2,447.66,454.43,461.02,466.7,474,481.2,488.3,495.6,502.8,509.8,516.5,523.1,528.6,533.8,538.6,543.2,547.7,551.6,554.3
Ningxia,327.92,337.93,346.71,355.58,364.14,373.72,383.38,393.04,399.05,406.87,414.62,424.33,435.16,444.53,454.81,465.68,473.88,482.27,490.86,503.87,512.38,521.21,528.94,536.57,543.29,554.32,563.22,571.54,580.19,587.71,596.2,603.73,610.25,617.69
Xinjiang,1154.53,1185.8,1208.97,1233.01,1255.97,1283.24,1303.05,1315.9,1333.3,1344.08,1361.14,1383.64,1406.33,1426.42,1454.16,1529.16,1554.57,1580.63,1605.26,1632.7,1661.35,1689.29,1718.08,1747.35,1775,1849.41,1876.19,1905.19,1933.95,1963.11,2010.35,2050,2095.19,2130.81
sum,91979.38,93275.69,94540.43,95827.11,97116.05,98274.35,99633.64,101153.32,102271.94,103383.63,104575.92,106117.84,107778.37,109483.08,111170.09,113860.21,115250.28,116471.6,117721.03,119053.52,120405.98,121365.96,122402.5,123411.99,124410.3,126134.3,126866.97,127647.32,128420.16,129272.11,129267.88,130202.91,131139.1,132058.49
Difference,440.62,441.31,433.57,431.89,425.95,430.65,438.36,500.68,736.06,973.37,1275.08,1389.16,1521.63,1542.92,1533.91,472.79,572.72,699.4,795.97,796.48,715.02,1023.04,1223.5,1349.01,1375.7,608.7,760.03,805.68,806.84,715.89,1488.12,1245.09,989.9,743.51
