# File: L245.IncomeElasticity_CHINA.csv
# Title: IncomeElasticity for municipal water
# Units: NA
# Description: Province income elasticity repeated out for future years
# Column types: ccnn
# ----------
region,energy.final.demand,year,income.elasticity
HB,municipal water,2025,0.366163898
HB,municipal water,2030,0.366163898
HB,municipal water,2035,0.366163898
HB,municipal water,2040,0.366163898
HB,municipal water,2045,0.366163898
HB,municipal water,2050,0.366163898
HB,municipal water,2055,0.366163898
HB,municipal water,2060,0.366163898
HB,municipal water,2065,0.366163898
HB,municipal water,2070,0.366163898
HB,municipal water,2075,0.366163898
HB,municipal water,2080,0.366163898
HB,municipal water,2085,0.366163898
HB,municipal water,2090,0.366163898
HB,municipal water,2095,0.366163898
HB,municipal water,2100,0.366163898
HE,municipal water,2021,0.366163898
HE,municipal water,2025,0.366163898
HE,municipal water,2030,0.366163898
HE,municipal water,2035,0.366163898
HE,municipal water,2040,0.366163898
HE,municipal water,2045,0.366163898
HE,municipal water,2050,0.366163898
HE,municipal water,2055,0.366163898
HE,municipal water,2060,0.366163898
HE,municipal water,2065,0.366163898
HE,municipal water,2070,0.366163898
HE,municipal water,2075,0.366163898
HE,municipal water,2080,0.366163898
HE,municipal water,2085,0.366163898
HE,municipal water,2090,0.366163898
HE,municipal water,2095,0.366163898
HE,municipal water,2100,0.366163898
HI,municipal water,2021,0.366163898
HI,municipal water,2025,0.366163898
HI,municipal water,2030,0.366163898
HI,municipal water,2035,0.366163898
HI,municipal water,2040,0.366163898
HI,municipal water,2045,0.366163898
HI,municipal water,2050,0.366163898
HI,municipal water,2055,0.366163898
HI,municipal water,2060,0.366163898
HI,municipal water,2065,0.366163898
HI,municipal water,2070,0.366163898
HI,municipal water,2075,0.366163898
HI,municipal water,2080,0.366163898
HI,municipal water,2085,0.366163898
HI,municipal water,2090,0.366163898
HI,municipal water,2095,0.366163898
HI,municipal water,2100,0.366163898
HK,municipal water,2021,0.366163898
HK,municipal water,2025,0.366163898
HK,municipal water,2030,0.366163898
HK,municipal water,2035,0.366163898
HK,municipal water,2040,0.366163898
HK,municipal water,2045,0.366163898
HK,municipal water,2050,0.366163898
HK,municipal water,2055,0.366163898
HK,municipal water,2060,0.366163898
HK,municipal water,2065,0.366163898
HK,municipal water,2070,0.366163898
HK,municipal water,2075,0.366163898
HK,municipal water,2080,0.366163898
HK,municipal water,2085,0.366163898
HK,municipal water,2090,0.366163898
HK,municipal water,2095,0.366163898
HK,municipal water,2100,0.366163898
HL,municipal water,2021,0.366163898
HL,municipal water,2025,0.366163898
HL,municipal water,2030,0.366163898
HL,municipal water,2035,0.366163898
HL,municipal water,2040,0.366163898
HL,municipal water,2045,0.366163898
HL,municipal water,2050,0.366163898
HL,municipal water,2055,0.366163898
HL,municipal water,2060,0.366163898
HL,municipal water,2065,0.366163898
HL,municipal water,2070,0.366163898
HL,municipal water,2075,0.366163898
HL,municipal water,2080,0.366163898
HL,municipal water,2085,0.366163898
HL,municipal water,2090,0.366163898
HL,municipal water,2095,0.366163898
HL,municipal water,2100,0.366163898
HN,municipal water,2021,0.366163898
HN,municipal water,2025,0.366163898
HN,municipal water,2030,0.366163898
HN,municipal water,2035,0.366163898
HN,municipal water,2040,0.366163898
HN,municipal water,2045,0.366163898
HN,municipal water,2050,0.366163898
HN,municipal water,2055,0.366163898
HN,municipal water,2060,0.366163898
HN,municipal water,2065,0.366163898
HN,municipal water,2070,0.366163898
HN,municipal water,2075,0.366163898
HN,municipal water,2080,0.366163898
HN,municipal water,2085,0.366163898
HN,municipal water,2090,0.366163898
HN,municipal water,2095,0.366163898
HN,municipal water,2100,0.366163898
JL,municipal water,2021,0.366163898
JL,municipal water,2025,0.366163898
JL,municipal water,2030,0.366163898
JL,municipal water,2035,0.366163898
JL,municipal water,2040,0.366163898
JL,municipal water,2045,0.366163898
JL,municipal water,2050,0.366163898
JL,municipal water,2055,0.366163898
JL,municipal water,2060,0.366163898
JL,municipal water,2065,0.366163898
JL,municipal water,2070,0.366163898
JL,municipal water,2075,0.366163898
JL,municipal water,2080,0.366163898
JL,municipal water,2085,0.366163898
JL,municipal water,2090,0.366163898
JL,municipal water,2095,0.366163898
JL,municipal water,2100,0.366163898
JS,municipal water,2021,0.366163898
JS,municipal water,2025,0.366163898
JS,municipal water,2030,0.366163898
JS,municipal water,2035,0.366163898
JS,municipal water,2040,0.366163898
JS,municipal water,2045,0.366163898
JS,municipal water,2050,0.366163898
JS,municipal water,2055,0.366163898
JS,municipal water,2060,0.366163898
JS,municipal water,2065,0.366163898
JS,municipal water,2070,0.366163898
JS,municipal water,2075,0.366163898
JS,municipal water,2080,0.366163898
JS,municipal water,2085,0.366163898
JS,municipal water,2090,0.366163898
JS,municipal water,2095,0.366163898
JS,municipal water,2100,0.366163898
JX,municipal water,2021,0.366163898
JX,municipal water,2025,0.366163898
JX,municipal water,2030,0.366163898
JX,municipal water,2035,0.366163898
JX,municipal water,2040,0.366163898
JX,municipal water,2045,0.366163898
JX,municipal water,2050,0.366163898
JX,municipal water,2055,0.366163898
JX,municipal water,2060,0.366163898
JX,municipal water,2065,0.366163898
JX,municipal water,2070,0.366163898
JX,municipal water,2075,0.366163898
JX,municipal water,2080,0.366163898
JX,municipal water,2085,0.366163898
JX,municipal water,2090,0.366163898
JX,municipal water,2095,0.366163898
JX,municipal water,2100,0.366163898
LN,municipal water,2021,0.366163898
LN,municipal water,2025,0.366163898
LN,municipal water,2030,0.366163898
LN,municipal water,2035,0.366163898
LN,municipal water,2040,0.366163898
LN,municipal water,2045,0.366163898
LN,municipal water,2050,0.366163898
LN,municipal water,2055,0.366163898
LN,municipal water,2060,0.366163898
LN,municipal water,2065,0.366163898
LN,municipal water,2070,0.366163898
LN,municipal water,2075,0.366163898
LN,municipal water,2080,0.366163898
LN,municipal water,2085,0.366163898
LN,municipal water,2090,0.366163898
LN,municipal water,2095,0.366163898
LN,municipal water,2100,0.366163898
MC,municipal water,2021,0.366163898
MC,municipal water,2025,0.366163898
