# File: A44.CalPrice_service_gcamchina.csv
# Title: Prices by service in the base years. Used to calibrate satiation impedance
# Units: 1975$/unit
# Source: GCAM-China v6.0 output
# Column types: ccnnnn
# ----------
region,sector,1990,2005,2010,2015
GZ,resid_urban appliances modern,35.9941,28.7069,27.4244,27.3386
GZ,resid_urban cooling modern,17.567,15.6142,15.2736,15.3817
GZ,resid_urban heating modern,3.1626,5.7768,6.2131,7.20147
GZ,resid_urban hot water_cooking modern,5.7339,6.87014,7.20305,8.01677
HI,comm appliances,0,28.7069,27.4244,27.3386
HI,comm cooling,0,9.41756,8.88011,8.85328
HI,comm heating,0,8.18052,8.19471,7.8241
HI,comm hot water_cooking,0,8.04737,11.0814,13.4646
HI,resid_rural appliances modern,35.9941,28.7069,27.4244,27.3386
HI,resid_rural cooling modern,17.567,15.6142,15.2736,15.3817
HI,resid_rural heating modern,0,8.07447,11.57,12.4161
HI,resid_rural hot water_cooking modern,22.9534,13.1537,14.1156,15.5757
HI,resid_urban appliances modern,35.9941,28.7069,27.4244,27.3386
HI,resid_urban cooling modern,17.567,15.6142,15.2736,15.3817
HI,resid_urban heating modern,0,6.83774,7.1478,7.08981
HI,resid_urban hot water_cooking modern,22.9534,9.10301,11.7463,12.3508
HE,comm appliances,35.5714,28.0311,27.1497,25.9309
HE,comm cooling,9.25869,9.13597,8.7675,8.28479
HE,comm heating,2.46672,4.15387,4.49203,6.65661
HE,comm hot water_cooking,7.84298,10.3348,11.3208,10.7322
HE,resid_rural appliances modern,35.5714,28.0311,27.1497,25.9309
HE,resid_rural cooling modern,17.4203,15.3579,15.167,14.8236
HE,resid_rural heating modern,2.14893,2.20415,2.50075,3.0897
HE,resid_rural hot water_cooking modern,5.27962,5.34659,5.49074,5.87139
HE,resid_urban appliances modern,35.5714,28.0311,27.1497,25.9309
HE,resid_urban cooling modern,17.4203,15.3579,15.167,14.8236
HE,resid_urban heating modern,2.80171,3.52546,4.57049,5.3766
HE,resid_urban hot water_cooking modern,6.36299,7.51002,9.18102,9.61273
HL,comm appliances,34.8932,27.8788,26.8046,26.4614
HL,comm cooling,9.05836,9.07252,8.62605,8.49902
HL,comm heating,2.87062,5.82469,7.94428,4.16475
HL,comm hot water_cooking,11.3958,10.4874,14.217,10.1116
HL,resid_rural appliances modern,34.8932,27.8788,26.8046,26.4614
