# File: A323.globaltech_co2capture.csv
# Title: CO2 capture rates
# Units: Unitless
# Description: xsl add 2021
# Source: Dziejarski, Bartosz, Renata Krzyzynska, and Klas Andersson. Current status of carbon capture, and storage technologies in the global economy: A survey of technical assessment
# Column types: cccnnn
# ----------
supplysector,subsector,technology,1971,2100
coke,coke,coke CCS,0.9,0.9
iron and steel,BLASTFUR,BLASTFUR CCS,0.9,0.9
iron and steel,EAF with DRI,EAF with DRI CCS,0.9,0.9
chemical energy use,coal,coal CCS,0.9,0.9
chemical energy use,gas,gas CCS,0.9,0.9
chemical energy use,liquid,liquid CCS,0.9,0.9
