# File: Population_Growth_Rates.csv
# Title: Population growth rates
# Units: N/A
# Description: Region population growth rates for future years
# Source: Growth rates are calculated based on historical population data
# Column types: cnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
Region,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
Zhejiang,0.010027339,0.009632293,0.009237247,0.008842201,0.008447156,0.00805211,0.007657064,0.007262018,0.006866972,0.006471926,0.00607688,0.005681835,0.005286789,0.004891743,0.004496697,0.004101651,0.003706605,0.003311559,0.002916513,0.002521468,0.002126422,0.001731376,0.00133633,0.000941284,0.000546238,0.000151192,-0.000243853,-0.000638899,-0.001033945,-0.001428991,-0.001824037,-0.002219083,-0.002614129,-0.003009174,-0.00340422,-0.003799266,-0.004194312,-0.004589358,-0.004984404,-0.00537945,-0.005774496,-0.006169541,-0.006564587,-0.006959633,-0.007354679,-0.007749725,-0.008144771,-0.008539817,-0.008934862,-0.009329908,-0.009724954
Anhui,0.00356243,0.003294147,0.003025864,0.002757581,0.002489298,0.002221015,0.001952732,0.001684449,0.001416166,0.001147883,0.0008796,0.000611318,0.000343035,7.48E-05,-0.000193531,-0.000461814,-0.000730097,-0.00099838,-0.001266663,-0.001534946,-0.001803229,-0.002071512,-0.002339795,-0.002608078,-0.002876361,-0.003144644,-0.003412927,-0.003681209,-0.003949492,-0.004217775,-0.004486058,-0.004754341,-0.005022624,-0.005290907,-0.00555919,-0.005827473,-0.006095756,-0.006364039,-0.006632322,-0.006900605,-0.007168888,-0.007437171,-0.007705454,-0.007973736,-0.008242019,-0.008510302,-0.008778585,-0.009046868,-0.009315151,-0.009583434,-0.009851717
Fujian,0.007724886,0.007374986,0.007025086,0.006675187,0.006325287,0.005975387,0.005625487,0.005275588,0.004925688,0.004575788,0.004225889,0.003875989,0.003526089,0.003176189,0.00282629,0.00247639,0.00212649,0.001776591,0.001426691,0.001076791,0.000726891,0.000376992,2.71E-05,-0.000322808,-0.000672708,-0.001022607,-0.001372507,-0.001722407,-0.002072306,-0.002422206,-0.002772106,-0.003122006,-0.003471905,-0.003821805,-0.004171705,-0.004521604,-0.004871504,-0.005221404,-0.005571304,-0.005921203,-0.006271103,-0.006621003,-0.006970903,-0.007320802,-0.007670702,-0.008020602,-0.008370501,-0.008720401,-0.009070301,-0.009420201,-0.0097701
Jiangxi,0.004865129,0.004571303,0.004277477,0.003983651,0.003689825,0.003395999,0.003102173,0.002808347,0.002514521,0.002220694,0.001926868,0.001633042,0.001339216,0.00104539,0.000751564,0.000457738,0.000163912,-0.000129914,-0.00042374,-0.000717566,-0.001011392,-0.001305218,-0.001599044,-0.00189287,-0.002186696,-0.002480522,-0.002774349,-0.003068175,-0.003362001,-0.003655827,-0.003949653,-0.004243479,-0.004537305,-0.004831131,-0.005124957,-0.005418783,-0.005712609,-0.006006435,-0.006300261,-0.006594087,-0.006887913,-0.007181739,-0.007475565,-0.007769392,-0.008063218,-0.008357044,-0.00865087,-0.008944696,-0.009238522,-0.009532348,-0.009826174
Shandong,0.005852819,0.005539626,0.005226434,0.004913241,0.004600049,0.004286856,0.003973664,0.003660471,0.003347279,0.003034086,0.002720893,0.002407701,0.002094508,0.001781316,0.001468123,0.001154931,0.000841738,0.000528546,0.000215353,-9.78E-05,-0.000411032,-0.000724224,-0.001037417,-0.001350609,-0.001663802,-0.001976994,-0.002290187,-0.002603379,-0.002916572,-0.003229764,-0.003542957,-0.00385615,-0.004169342,-0.004482535,-0.004795727,-0.00510892,-0.005422112,-0.005735305,-0.006048497,-0.00636169,-0.006674882,-0.006988075,-0.007301267,-0.00761446,-0.007927652,-0.008240845,-0.008554037,-0.00886723,-0.009180422,-0.009493615,-0.009806807
Henan,0.001383537,0.001157977,0.000932418,0.000706858,0.000481299,0.000255739,3.02E-05,-0.00019538,-0.00042094,-0.000646499,-0.000872059,-0.001097618,-0.001323178,-0.001548737,-0.001774297,-0.001999856,-0.002225416,-0.002450975,-0.002676535,-0.002902095,-0.003127654,-0.003353214,-0.003578773,-0.003804333,-0.004029892,-0.004255452,-0.004481011,-0.004706571,-0.00493213,-0.00515769,-0.00538325,-0.005608809,-0.005834369,-0.006059928,-0.006285488,-0.006511047,-0.006736607,-0.006962166,-0.007187726,-0.007413285,-0.007638845,-0.007864405,-0.008089964,-0.008315524,-0.008541083,-0.008766643,-0.008992202,-0.009217762,-0.009443321,-0.009668881,-0.00989444
Hubei,0.003299341,0.003036217,0.002773092,0.002509968,0.002246844,0.001983719,0.001720595,0.001457471,0.001194346,0.000931222,0.000668098,0.000404973,0.000141849,-0.000121275,-0.0003844,-0.000647524,-0.000910648,-0.001173773,-0.001436897,-0.001700021,-0.001963146,-0.00222627,-0.002489394,-0.002752519,-0.003015643,-0.003278767,-0.003541892,-0.003805016,-0.00406814,-0.004331265,-0.004594389,-0.004857513,-0.005120638,-0.005383762,-0.005646886,-0.005910011,-0.006173135,-0.006436259,-0.006699384,-0.006962508,-0.007225632,-0.007488757,-0.007751881,-0.008015005,-0.00827813,-0.008541254,-0.008804378,-0.009067503,-0.009330627,-0.009593751,-0.009856876
Hunan,0.007393782,0.007050375,0.006706967,0.00636356,0.006020152,0.005676745,0.005333337,0.00498993,0.004646522,0.004303115,0.003959707,0.0036163,0.003272892,0.002929485,0.002586077,0.00224267,0.001899262,0.001555855,0.001212447,0.00086904,0.000525632,0.000182225,-0.000161183,-0.00050459,-0.000847998,-0.001191405,-0.001534813,-0.00187822,-0.002221628,-0.002565035,-0.002908443,-0.00325185,-0.003595258,-0.003938665,-0.004282073,-0.00462548,-0.004968888,-0.005312295,-0.005655703,-0.00599911,-0.006342518,-0.006685925,-0.007029333,-0.00737274,-0.007716148,-0.008059555,-0.008402963,-0.00874637,-0.009089778,-0.009433185,-0.009776593
Guangdong,0.012530662,0.012086532,0.011642401,0.011198271,0.01075414,0.010310009,0.009865879,0.009421748,0.008977617,0.008533487,0.008089356,0.007645225,0.007201095,0.006756964,0.006312834,0.005868703,0.005424572,0.004980442,0.004536311,0.00409218,0.00364805,0.003203919,0.002759788,0.002315658,0.001871527,0.001427397,0.000983266,0.000539135,9.50E-05,-0.000349126,-0.000793257,-0.001237387,-0.001681518,-0.002125649,-0.002569779,-0.00301391,-0.00345804,-0.003902171,-0.004346302,-0.004790432,-0.005234563,-0.005678694,-0.006122824,-0.006566955,-0.007011086,-0.007455216,-0.007899347,-0.008343477,-0.008787608,-0.009231739,-0.009675869
Guangxi,0.002043511,0.001805011,0.00156651,0.00132801,0.00108951,0.00085101,0.00061251,0.000374009,0.000135509,-0.000102991,-0.000341491,-0.000579991,-0.000818492,-0.001056992,-0.001295492,-0.001533992,-0.001772493,-0.002010993,-0.002249493,-0.002487993,-0.002726493,-0.002964994,-0.003203494,-0.003441994,-0.003680494,-0.003918994,-0.004157495,-0.004395995,-0.004634495,-0.004872995,-0.005111496,-0.005349996,-0.005588496,-0.005826996,-0.006065496,-0.006303997,-0.006542497,-0.006780997,-0.007019497,-0.007257997,-0.007496498,-0.007734998,-0.007973498,-0.008211998,-0.008450499,-0.008688999,-0.008927499,-0.009165999,-0.009404499,-0.009643,-0.0098815
Hainan,0.008635249,0.008267499,0.007899749,0.007531999,0.007164249,0.006796499,0.006428749,0.006060999,0.005693249,0.005325499,0.004957749,0.004589999,0.004222249,0.003854499,0.00348675,0.003119,0.00275125,0.0023835,0.00201575,0.001648,0.00128025,0.0009125,0.00054475,0.000177,-0.00019075,-0.0005585,-0.00092625,-0.001294,-0.00166175,-0.0020295,-0.00239725,-0.002765,-0.00313275,-0.0035005,-0.00386825,-0.004236,-0.00460375,-0.0049715,-0.00533925,-0.005707,-0.00607475,-0.0064425,-0.00681025,-0.007178,-0.00754575,-0.0079135,-0.00828125,-0.008649,-0.00901675,-0.0093845,-0.00975225
