# File: L245.TechCost_CHINA.csv
# Title: Municipal water price
# Units: 1975$
# Description: Costs joined to sector infromation and expanded for all model years
# Column types: ccccncn
# ----------
region,supplysector,subsector,technology,year,minicam.non.energy.input,input.cost
GD,municipal water,municipal water,municipal water,1975,infrastructure cost,0.0881
GD,municipal water,municipal water,municipal water,1990,infrastructure cost,0.0881
GD,municipal water,municipal water,municipal water,2005,infrastructure cost,0.0881
GD,municipal water,municipal water,municipal water,2010,infrastructure cost,0.0881
GD,municipal water,municipal water,municipal water,2015,infrastructure cost,0.0881
GD,municipal water,municipal water,municipal water,2021,infrastructure cost,0.0881
GD,municipal water,municipal water,municipal water,2025,infrastructure cost,0.0881
GD,municipal water,municipal water,municipal water,2030,infrastructure cost,0.0881
GD,municipal water,municipal water,municipal water,2035,infrastructure cost,0.0881
GD,municipal water,municipal water,municipal water,2040,infrastructure cost,0.0881
GD,municipal water,municipal water,municipal water,2045,infrastructure cost,0.0881
GD,municipal water,municipal water,municipal water,2050,infrastructure cost,0.0881
GD,municipal water,municipal water,municipal water,2055,infrastructure cost,0.0881
GD,municipal water,municipal water,municipal water,2060,infrastructure cost,0.0881
GD,municipal water,municipal water,municipal water,2065,infrastructure cost,0.0881
GD,municipal water,municipal water,municipal water,2070,infrastructure cost,0.0881
GD,municipal water,municipal water,municipal water,2075,infrastructure cost,0.0881
GD,municipal water,municipal water,municipal water,2080,infrastructure cost,0.0881
GD,municipal water,municipal water,municipal water,2085,infrastructure cost,0.0881
GD,municipal water,municipal water,municipal water,2090,infrastructure cost,0.0881
GD,municipal water,municipal water,municipal water,2095,infrastructure cost,0.0881
GD,municipal water,municipal water,municipal water,2100,infrastructure cost,0.0881
GS,municipal water,municipal water,municipal water,1975,infrastructure cost,0.0881
GS,municipal water,municipal water,municipal water,1990,infrastructure cost,0.0881
GS,municipal water,municipal water,municipal water,2005,infrastructure cost,0.0881
GS,municipal water,municipal water,municipal water,2010,infrastructure cost,0.0881
GS,municipal water,municipal water,municipal water,2015,infrastructure cost,0.0881
GS,municipal water,municipal water,municipal water,2021,infrastructure cost,0.0881
GS,municipal water,municipal water,municipal water,2025,infrastructure cost,0.0881
GS,municipal water,municipal water,municipal water,2030,infrastructure cost,0.0881
GS,municipal water,municipal water,municipal water,2035,infrastructure cost,0.0881
GS,municipal water,municipal water,municipal water,2040,infrastructure cost,0.0881
GS,municipal water,municipal water,municipal water,2045,infrastructure cost,0.0881
GS,municipal water,municipal water,municipal water,2050,infrastructure cost,0.0881
GS,municipal water,municipal water,municipal water,2055,infrastructure cost,0.0881
GS,municipal water,municipal water,municipal water,2060,infrastructure cost,0.0881
GS,municipal water,municipal water,municipal water,2065,infrastructure cost,0.0881
GS,municipal water,municipal water,municipal water,2070,infrastructure cost,0.0881
GS,municipal water,municipal water,municipal water,2075,infrastructure cost,0.0881
GS,municipal water,municipal water,municipal water,2080,infrastructure cost,0.0881
GS,municipal water,municipal water,municipal water,2085,infrastructure cost,0.0881
GS,municipal water,municipal water,municipal water,2090,infrastructure cost,0.0881
GS,municipal water,municipal water,municipal water,2095,infrastructure cost,0.0881
GS,municipal water,municipal water,municipal water,2100,infrastructure cost,0.0881
GX,municipal water,municipal water,municipal water,1975,infrastructure cost,0.0881
GX,municipal water,municipal water,municipal water,1990,infrastructure cost,0.0881
GX,municipal water,municipal water,municipal water,2005,infrastructure cost,0.0881
GX,municipal water,municipal water,municipal water,2010,infrastructure cost,0.0881
GX,municipal water,municipal water,municipal water,2015,infrastructure cost,0.0881
GX,municipal water,municipal water,municipal water,2021,infrastructure cost,0.0881
GX,municipal water,municipal water,municipal water,2025,infrastructure cost,0.0881
GX,municipal water,municipal water,municipal water,2030,infrastructure cost,0.0881
GX,municipal water,municipal water,municipal water,2035,infrastructure cost,0.0881
GX,municipal water,municipal water,municipal water,2040,infrastructure cost,0.0881
GX,municipal water,municipal water,municipal water,2045,infrastructure cost,0.0881
GX,municipal water,municipal water,municipal water,2050,infrastructure cost,0.0881
GX,municipal water,municipal water,municipal water,2055,infrastructure cost,0.0881
GX,municipal water,municipal water,municipal water,2060,infrastructure cost,0.0881
GX,municipal water,municipal water,municipal water,2065,infrastructure cost,0.0881
GX,municipal water,municipal water,municipal water,2070,infrastructure cost,0.0881
GX,municipal water,municipal water,municipal water,2075,infrastructure cost,0.0881
GX,municipal water,municipal water,municipal water,2080,infrastructure cost,0.0881
GX,municipal water,municipal water,municipal water,2085,infrastructure cost,0.0881
GX,municipal water,municipal water,municipal water,2090,infrastructure cost,0.0881
GX,municipal water,municipal water,municipal water,2095,infrastructure cost,0.0881
GX,municipal water,municipal water,municipal water,2100,infrastructure cost,0.0881
GZ,municipal water,municipal water,municipal water,1975,infrastructure cost,0.0881
GZ,municipal water,municipal water,municipal water,1990,infrastructure cost,0.0881
GZ,municipal water,municipal water,municipal water,2005,infrastructure cost,0.0881
GZ,municipal water,municipal water,municipal water,2010,infrastructure cost,0.0881
GZ,municipal water,municipal water,municipal water,2015,infrastructure cost,0.0881
GZ,municipal water,municipal water,municipal water,2021,infrastructure cost,0.0881
GZ,municipal water,municipal water,municipal water,2025,infrastructure cost,0.0881
GZ,municipal water,municipal water,municipal water,2030,infrastructure cost,0.0881
GZ,municipal water,municipal water,municipal water,2035,infrastructure cost,0.0881
GZ,municipal water,municipal water,municipal water,2040,infrastructure cost,0.0881
GZ,municipal water,municipal water,municipal water,2045,infrastructure cost,0.0881
GZ,municipal water,municipal water,municipal water,2050,infrastructure cost,0.0881
GZ,municipal water,municipal water,municipal water,2055,infrastructure cost,0.0881
GZ,municipal water,municipal water,municipal water,2060,infrastructure cost,0.0881
GZ,municipal water,municipal water,municipal water,2065,infrastructure cost,0.0881
GZ,municipal water,municipal water,municipal water,2070,infrastructure cost,0.0881
GZ,municipal water,municipal water,municipal water,2075,infrastructure cost,0.0881
GZ,municipal water,municipal water,municipal water,2080,infrastructure cost,0.0881
GZ,municipal water,municipal water,municipal water,2085,infrastructure cost,0.0881
GZ,municipal water,municipal water,municipal water,2090,infrastructure cost,0.0881
GZ,municipal water,municipal water,municipal water,2095,infrastructure cost,0.0881
GZ,municipal water,municipal water,municipal water,2100,infrastructure cost,0.0881
HA,municipal water,municipal water,municipal water,1975,infrastructure cost,0.0881
HA,municipal water,municipal water,municipal water,1990,infrastructure cost,0.0881
HA,municipal water,municipal water,municipal water,2005,infrastructure cost,0.0881
HA,municipal water,municipal water,municipal water,2010,infrastructure cost,0.0881
HA,municipal water,municipal water,municipal water,2015,infrastructure cost,0.0881
HA,municipal water,municipal water,municipal water,2021,infrastructure cost,0.0881
HA,municipal water,municipal water,municipal water,2025,infrastructure cost,0.0881
HA,municipal water,municipal water,municipal water,2030,infrastructure cost,0.0881
HA,municipal water,municipal water,municipal water,2035,infrastructure cost,0.0881
HA,municipal water,municipal water,municipal water,2040,infrastructure cost,0.0881
HA,municipal water,municipal water,municipal water,2045,infrastructure cost,0.0881
HA,municipal water,municipal water,municipal water,2050,infrastructure cost,0.0881
HA,municipal water,municipal water,municipal water,2055,infrastructure cost,0.0881
HA,municipal water,municipal water,municipal water,2060,infrastructure cost,0.0881
HA,municipal water,municipal water,municipal water,2065,infrastructure cost,0.0881
HA,municipal water,municipal water,municipal water,2070,infrastructure cost,0.0881
HA,municipal water,municipal water,municipal water,2075,infrastructure cost,0.0881
HA,municipal water,municipal water,municipal water,2080,infrastructure cost,0.0881
HA,municipal water,municipal water,municipal water,2085,infrastructure cost,0.0881
HA,municipal water,municipal water,municipal water,2090,infrastructure cost,0.0881
HA,municipal water,municipal water,municipal water,2095,infrastructure cost,0.0881
HA,municipal water,municipal water,municipal water,2100,infrastructure cost,0.0881
HB,municipal water,municipal water,municipal water,1975,infrastructure cost,0.0881
HB,municipal water,municipal water,municipal water,1990,infrastructure cost,0.0881
HB,municipal water,municipal water,municipal water,2005,infrastructure cost,0.0881
HB,municipal water,municipal water,municipal water,2010,infrastructure cost,0.0881
HB,municipal water,municipal water,municipal water,2015,infrastructure cost,0.0881
HB,municipal water,municipal water,municipal water,2021,infrastructure cost,0.0881
HB,municipal water,municipal water,municipal water,2025,infrastructure cost,0.0881
HB,municipal water,municipal water,municipal water,2030,infrastructure cost,0.0881
HB,municipal water,municipal water,municipal water,2035,infrastructure cost,0.0881
HB,municipal water,municipal water,municipal water,2040,infrastructure cost,0.0881
HB,municipal water,municipal water,municipal water,2045,infrastructure cost,0.0881
HB,municipal water,municipal water,municipal water,2050,infrastructure cost,0.0881
HB,municipal water,municipal water,municipal water,2055,infrastructure cost,0.0881
HB,municipal water,municipal water,municipal water,2060,infrastructure cost,0.0881
HB,municipal water,municipal water,municipal water,2065,infrastructure cost,0.0881
HB,municipal water,municipal water,municipal water,2070,infrastructure cost,0.0881
HB,municipal water,municipal water,municipal water,2075,infrastructure cost,0.0881
HB,municipal water,municipal water,municipal water,2080,infrastructure cost,0.0881
HB,municipal water,municipal water,municipal water,2085,infrastructure cost,0.0881
HB,municipal water,municipal water,municipal water,2090,infrastructure cost,0.0881
HB,municipal water,municipal water,municipal water,2095,infrastructure cost,0.0881
HB,municipal water,municipal water,municipal water,2100,infrastructure cost,0.0881
HE,municipal water,municipal water,municipal water,1975,infrastructure cost,0.0881
HE,municipal water,municipal water,municipal water,1990,infrastructure cost,0.0881
HE,municipal water,municipal water,municipal water,2005,infrastructure cost,0.0881
HE,municipal water,municipal water,municipal water,2010,infrastructure cost,0.0881
HE,municipal water,municipal water,municipal water,2015,infrastructure cost,0.0881
HE,municipal water,municipal water,municipal water,2021,infrastructure cost,0.0881
HE,municipal water,municipal water,municipal water,2025,infrastructure cost,0.0881
HE,municipal water,municipal water,municipal water,2030,infrastructure cost,0.0881
HE,municipal water,municipal water,municipal water,2035,infrastructure cost,0.0881
HE,municipal water,municipal water,municipal water,2040,infrastructure cost,0.0881
HE,municipal water,municipal water,municipal water,2045,infrastructure cost,0.0881
HE,municipal water,municipal water,municipal water,2050,infrastructure cost,0.0881
HE,municipal water,municipal water,municipal water,2055,infrastructure cost,0.0881
HE,municipal water,municipal water,municipal water,2060,infrastructure cost,0.0881
HE,municipal water,municipal water,municipal water,2065,infrastructure cost,0.0881
HE,municipal water,municipal water,municipal water,2070,infrastructure cost,0.0881
HE,municipal water,municipal water,municipal water,2075,infrastructure cost,0.0881
HE,municipal water,municipal water,municipal water,2080,infrastructure cost,0.0881
HE,municipal water,municipal water,municipal water,2085,infrastructure cost,0.0881
HE,municipal water,municipal water,municipal water,2090,infrastructure cost,0.0881
HE,municipal water,municipal water,municipal water,2095,infrastructure cost,0.0881
HE,municipal water,municipal water,municipal water,2100,infrastructure cost,0.0881
HI,municipal water,municipal water,municipal water,1975,infrastructure cost,0.0881
HI,municipal water,municipal water,municipal water,1990,infrastructure cost,0.0881
HI,municipal water,municipal water,municipal water,2005,infrastructure cost,0.0881
HI,municipal water,municipal water,municipal water,2010,infrastructure cost,0.0881
HI,municipal water,municipal water,municipal water,2015,infrastructure cost,0.0881
HI,municipal water,municipal water,municipal water,2021,infrastructure cost,0.0881
HI,municipal water,municipal water,municipal water,2025,infrastructure cost,0.0881
HI,municipal water,municipal water,municipal water,2030,infrastructure cost,0.0881
HI,municipal water,municipal water,municipal water,2035,infrastructure cost,0.0881
HI,municipal water,municipal water,municipal water,2040,infrastructure cost,0.0881
HI,municipal water,municipal water,municipal water,2045,infrastructure cost,0.0881
HI,municipal water,municipal water,municipal water,2050,infrastructure cost,0.0881
HI,municipal water,municipal water,municipal water,2055,infrastructure cost,0.0881
HI,municipal water,municipal water,municipal water,2060,infrastructure cost,0.0881
HI,municipal water,municipal water,municipal water,2065,infrastructure cost,0.0881
HI,municipal water,municipal water,municipal water,2070,infrastructure cost,0.0881
HI,municipal water,municipal water,municipal water,2075,infrastructure cost,0.0881
HI,municipal water,municipal water,municipal water,2080,infrastructure cost,0.0881
HI,municipal water,municipal water,municipal water,2085,infrastructure cost,0.0881
HI,municipal water,municipal water,municipal water,2090,infrastructure cost,0.0881
HI,municipal water,municipal water,municipal water,2095,infrastructure cost,0.0881
HI,municipal water,municipal water,municipal water,2100,infrastructure cost,0.0881
HK,municipal water,municipal water,municipal water,1975,infrastructure cost,0.0881
HK,municipal water,municipal water,municipal water,1990,infrastructure cost,0.0881
HK,municipal water,municipal water,municipal water,2005,infrastructure cost,0.0881
HK,municipal water,municipal water,municipal water,2010,infrastructure cost,0.0881
HK,municipal water,municipal water,municipal water,2015,infrastructure cost,0.0881
HK,municipal water,municipal water,municipal water,2021,infrastructure cost,0.0881
HK,municipal water,municipal water,municipal water,2025,infrastructure cost,0.0881
HK,municipal water,municipal water,municipal water,2030,infrastructure cost,0.0881
HK,municipal water,municipal water,municipal water,2035,infrastructure cost,0.0881
HK,municipal water,municipal water,municipal water,2040,infrastructure cost,0.0881
HK,municipal water,municipal water,municipal water,2045,infrastructure cost,0.0881
HK,municipal water,municipal water,municipal water,2050,infrastructure cost,0.0881
HK,municipal water,municipal water,municipal water,2055,infrastructure cost,0.0881
HK,municipal water,municipal water,municipal water,2060,infrastructure cost,0.0881
HK,municipal water,municipal water,municipal water,2065,infrastructure cost,0.0881
HK,municipal water,municipal water,municipal water,2070,infrastructure cost,0.0881
HK,municipal water,municipal water,municipal water,2075,infrastructure cost,0.0881
HK,municipal water,municipal water,municipal water,2080,infrastructure cost,0.0881
HK,municipal water,municipal water,municipal water,2085,infrastructure cost,0.0881
HK,municipal water,municipal water,municipal water,2090,infrastructure cost,0.0881
HK,municipal water,municipal water,municipal water,2095,infrastructure cost,0.0881
HK,municipal water,municipal water,municipal water,2100,infrastructure cost,0.0881
HL,municipal water,municipal water,municipal water,1975,infrastructure cost,0.0881
HL,municipal water,municipal water,municipal water,1990,infrastructure cost,0.0881
HL,municipal water,municipal water,municipal water,2005,infrastructure cost,0.0881
HL,municipal water,municipal water,municipal water,2010,infrastructure cost,0.0881
HL,municipal water,municipal water,municipal water,2015,infrastructure cost,0.0881
HL,municipal water,municipal water,municipal water,2021,infrastructure cost,0.0881
HL,municipal water,municipal water,municipal water,2025,infrastructure cost,0.0881
HL,municipal water,municipal water,municipal water,2030,infrastructure cost,0.0881
HL,municipal water,municipal water,municipal water,2035,infrastructure cost,0.0881
HL,municipal water,municipal water,municipal water,2040,infrastructure cost,0.0881
HL,municipal water,municipal water,municipal water,2045,infrastructure cost,0.0881
HL,municipal water,municipal water,municipal water,2050,infrastructure cost,0.0881
HL,municipal water,municipal water,municipal water,2055,infrastructure cost,0.0881
HL,municipal water,municipal water,municipal water,2060,infrastructure cost,0.0881
HL,municipal water,municipal water,municipal water,2065,infrastructure cost,0.0881
HL,municipal water,municipal water,municipal water,2070,infrastructure cost,0.0881
HL,municipal water,municipal water,municipal water,2075,infrastructure cost,0.0881
HL,municipal water,municipal water,municipal water,2080,infrastructure cost,0.0881
HL,municipal water,municipal water,municipal water,2085,infrastructure cost,0.0881
HL,municipal water,municipal water,municipal water,2090,infrastructure cost,0.0881
HL,municipal water,municipal water,municipal water,2095,infrastructure cost,0.0881
HL,municipal water,municipal water,municipal water,2100,infrastructure cost,0.0881
HN,municipal water,municipal water,municipal water,1975,infrastructure cost,0.0881
HN,municipal water,municipal water,municipal water,1990,infrastructure cost,0.0881
HN,municipal water,municipal water,municipal water,2005,infrastructure cost,0.0881
HN,municipal water,municipal water,municipal water,2010,infrastructure cost,0.0881
HN,municipal water,municipal water,municipal water,2015,infrastructure cost,0.0881
HN,municipal water,municipal water,municipal water,2021,infrastructure cost,0.0881
HN,municipal water,municipal water,municipal water,2025,infrastructure cost,0.0881
HN,municipal water,municipal water,municipal water,2030,infrastructure cost,0.0881
HN,municipal water,municipal water,municipal water,2035,infrastructure cost,0.0881
HN,municipal water,municipal water,municipal water,2040,infrastructure cost,0.0881
HN,municipal water,municipal water,municipal water,2045,infrastructure cost,0.0881
HN,municipal water,municipal water,municipal water,2050,infrastructure cost,0.0881
HN,municipal water,municipal water,municipal water,2055,infrastructure cost,0.0881
HN,municipal water,municipal water,municipal water,2060,infrastructure cost,0.0881
HN,municipal water,municipal water,municipal water,2065,infrastructure cost,0.0881
HN,municipal water,municipal water,municipal water,2070,infrastructure cost,0.0881
HN,municipal water,municipal water,municipal water,2075,infrastructure cost,0.0881
HN,municipal water,municipal water,municipal water,2080,infrastructure cost,0.0881
HN,municipal water,municipal water,municipal water,2085,infrastructure cost,0.0881
HN,municipal water,municipal water,municipal water,2090,infrastructure cost,0.0881
HN,municipal water,municipal water,municipal water,2095,infrastructure cost,0.0881
HN,municipal water,municipal water,municipal water,2100,infrastructure cost,0.0881
JL,municipal water,municipal water,municipal water,1975,infrastructure cost,0.0881
JL,municipal water,municipal water,municipal water,1990,infrastructure cost,0.0881
JL,municipal water,municipal water,municipal water,2005,infrastructure cost,0.0881
JL,municipal water,municipal water,municipal water,2010,infrastructure cost,0.0881
JL,municipal water,municipal water,municipal water,2015,infrastructure cost,0.0881
JL,municipal water,municipal water,municipal water,2021,infrastructure cost,0.0881
JL,municipal water,municipal water,municipal water,2025,infrastructure cost,0.0881
JL,municipal water,municipal water,municipal water,2030,infrastructure cost,0.0881
JL,municipal water,municipal water,municipal water,2035,infrastructure cost,0.0881
JL,municipal water,municipal water,municipal water,2040,infrastructure cost,0.0881
JL,municipal water,municipal water,municipal water,2045,infrastructure cost,0.0881
JL,municipal water,municipal water,municipal water,2050,infrastructure cost,0.0881
JL,municipal water,municipal water,municipal water,2055,infrastructure cost,0.0881
JL,municipal water,municipal water,municipal water,2060,infrastructure cost,0.0881
JL,municipal water,municipal water,municipal water,2065,infrastructure cost,0.0881
JL,municipal water,municipal water,municipal water,2070,infrastructure cost,0.0881
JL,municipal water,municipal water,municipal water,2075,infrastructure cost,0.0881
JL,municipal water,municipal water,municipal water,2080,infrastructure cost,0.0881
JL,municipal water,municipal water,municipal water,2085,infrastructure cost,0.0881
JL,municipal water,municipal water,municipal water,2090,infrastructure cost,0.0881
JL,municipal water,municipal water,municipal water,2095,infrastructure cost,0.0881
JL,municipal water,municipal water,municipal water,2100,infrastructure cost,0.0881
JS,municipal water,municipal water,municipal water,1975,infrastructure cost,0.0881
JS,municipal water,municipal water,municipal water,1990,infrastructure cost,0.0881
JS,municipal water,municipal water,municipal water,2005,infrastructure cost,0.0881
JS,municipal water,municipal water,municipal water,2010,infrastructure cost,0.0881
JS,municipal water,municipal water,municipal water,2015,infrastructure cost,0.0881
JS,municipal water,municipal water,municipal water,2021,infrastructure cost,0.0881
JS,municipal water,municipal water,municipal water,2025,infrastructure cost,0.0881
JS,municipal water,municipal water,municipal water,2030,infrastructure cost,0.0881
JS,municipal water,municipal water,municipal water,2035,infrastructure cost,0.0881
JS,municipal water,municipal water,municipal water,2040,infrastructure cost,0.0881
JS,municipal water,municipal water,municipal water,2045,infrastructure cost,0.0881
JS,municipal water,municipal water,municipal water,2050,infrastructure cost,0.0881
JS,municipal water,municipal water,municipal water,2055,infrastructure cost,0.0881
JS,municipal water,municipal water,municipal water,2060,infrastructure cost,0.0881
JS,municipal water,municipal water,municipal water,2065,infrastructure cost,0.0881
JS,municipal water,municipal water,municipal water,2070,infrastructure cost,0.0881
JS,municipal water,municipal water,municipal water,2075,infrastructure cost,0.0881
JS,municipal water,municipal water,municipal water,2080,infrastructure cost,0.0881
JS,municipal water,municipal water,municipal water,2085,infrastructure cost,0.0881
JS,municipal water,municipal water,municipal water,2090,infrastructure cost,0.0881
JS,municipal water,municipal water,municipal water,2095,infrastructure cost,0.0881
JS,municipal water,municipal water,municipal water,2100,infrastructure cost,0.0881
JX,municipal water,municipal water,municipal water,1975,infrastructure cost,0.0881
JX,municipal water,municipal water,municipal water,1990,infrastructure cost,0.0881
JX,municipal water,municipal water,municipal water,2005,infrastructure cost,0.0881
JX,municipal water,municipal water,municipal water,2010,infrastructure cost,0.0881
JX,municipal water,municipal water,municipal water,2015,infrastructure cost,0.0881
JX,municipal water,municipal water,municipal water,2021,infrastructure cost,0.0881
JX,municipal water,municipal water,municipal water,2025,infrastructure cost,0.0881
JX,municipal water,municipal water,municipal water,2030,infrastructure cost,0.0881
JX,municipal water,municipal water,municipal water,2035,infrastructure cost,0.0881
JX,municipal water,municipal water,municipal water,2040,infrastructure cost,0.0881
JX,municipal water,municipal water,municipal water,2045,infrastructure cost,0.0881
JX,municipal water,municipal water,municipal water,2050,infrastructure cost,0.0881
JX,municipal water,municipal water,municipal water,2055,infrastructure cost,0.0881
JX,municipal water,municipal water,municipal water,2060,infrastructure cost,0.0881
JX,municipal water,municipal water,municipal water,2065,infrastructure cost,0.0881
JX,municipal water,municipal water,municipal water,2070,infrastructure cost,0.0881
JX,municipal water,municipal water,municipal water,2075,infrastructure cost,0.0881
JX,municipal water,municipal water,municipal water,2080,infrastructure cost,0.0881
JX,municipal water,municipal water,municipal water,2085,infrastructure cost,0.0881
JX,municipal water,municipal water,municipal water,2090,infrastructure cost,0.0881
JX,municipal water,municipal water,municipal water,2095,infrastructure cost,0.0881
JX,municipal water,municipal water,municipal water,2100,infrastructure cost,0.0881
LN,municipal water,municipal water,municipal water,1975,infrastructure cost,0.0881
LN,municipal water,municipal water,municipal water,1990,infrastructure cost,0.0881
LN,municipal water,municipal water,municipal water,2005,infrastructure cost,0.0881
LN,municipal water,municipal water,municipal water,2010,infrastructure cost,0.0881
LN,municipal water,municipal water,municipal water,2015,infrastructure cost,0.0881
LN,municipal water,municipal water,municipal water,2021,infrastructure cost,0.0881
