# File: GDP_raw.csv
# Title: Raw provincial GDP data for historical years
# Units: 100000000 RMB
# Description: Raw provincial GDP data for historical years
# Source: CNKI data extractor (China Statistics Yearbook and China Compendium of Statistics (60-year statistics))
# Column types: cnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
province.name,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Fujian,46.48,46.92,52.41,66.4,74.11,87.1,105.62,117.81,127.76,157.06,200.5,222.54,279.24,383.21,458.4,523.3,619.87,787.71,1133.49,1685.34,2094.9,2484.25,2870.9,3159.91,3414.19,3764.54,4072.85,4467.55,4983.67,5763.35,6554.69,7583.85,9248.53,10823.01,12236.53,"19,601.24","23,356.07","23,608.21","26,204.53","28,825.48","28,072.29","31,131.04","34,774.10","38,687.77","42,395.00"
Jiangxi,68.12,64.34,74.78,87,104.2,111.2,121.3,134,144.13,169.11,208,230.82,262.9,325.83,376.5,428.62,479.4,572.6,723.06,948.2,1169.73,1409.74,1605.77,1719.87,1853.65,2003.07,2175.68,2450.48,2807.41,3456.7,4056.76,4820.53,5800.25,6971.05,7655.18,"12,021.55","14,885.43","14,800.13","16,470.36","17,961.29","17,280.41","19,114.71","20,672.19","22,716.51","24,757.50"
Shandong,166.19,179.58,207.07,225.5,251.6,292.13,346.57,395.38,459.83,581.56,680.5,742.05,892.29,1117.66,1293.94,1511.2,1810.54,2196.53,2779.5,3872.2,5002.34,5960.42,6650.02,7021.35,7493.84,8337.47,9195.04,10275.5,12078.15,15021.84,18366.87,21900.19,25776.91,30933.28,33896.65,"40,705.91","47,140.65","47,064.91","51,974.44","55,923.34","54,911.11","59,288.28","63,305.94","66,648.87","71,067.53"
Henan,127.77,125.52,144.11,163,190.09,229.2,249.69,263.3,327.95,370.04,452,502.91,609.6,749.09,850.71,935,1045.73,1279.75,1662.76,2224.43,3003,3683.41,4080.5,4356.6,4581,5052.99,5533.01,6035.48,6867.7,8553.79,10587.42,12362.79,15012.46,18018.53,19480.46,"28,544.15","33,289.08","33,641.35","36,587.30","39,709.36","38,449.76","42,055.13","46,295.82","49,935.90","54,259.20"
Hubei,120.1,114.64,131.11,151,188.46,199.4,219.75,241.55,262.58,328.22,396.3,442.04,517.77,626.52,717.08,824.4,913.38,1088.39,1325.8332,1700.9175,2109.3842,2499.7666,2856.4704,3114.0156,3229.2916,3545.39,3880.53,4212.82,4757.45,5633.24,6590.19,7617.47,9333.4,11328.92,12961.1,"20,993.55","25,811.69","26,255.18","29,253.97","32,307.05","31,543.45","34,868.76","37,871.20","42,021.95","45,828.31"
Hunan,118.4,118.53,129.17,147,178.01,191.72,209.68,232.52,257.43,287.29,350,397.68,469.44,584.07,640.8,744.44,833.3,997.7,1278.28,1694.42,2132.13,2540.13,2849.27,3025.53,3214.54,3551.49,3831.9,4151.54,4659.99,5641.94,6596.1,7688.67,9439.6,11555,13059.69,"19,406.62","23,801.01","24,121.07","26,807.57","29,437.68","28,825.96","31,468.13","33,813.52","36,329.68","39,752.12"
Guangdong,157.66,156.38,168.9,186,209.34,249.7,290.36,339.9242,368.7537,458.74,577.4,667.5302,846.69,1155.37,1381.39,1559.03,1893.3,2447.54,3469.2834,4619.02,5933.05,6834.97,7774.53,8530.88,9250.68,10741.25,12039.25,13502.42,15844.64,18864.62,22557.37,26587.76,31777.01,36796.71,39482.56,"57,470.17","66,459.47","65,108.94","71,277.65","77,364.44","74,809.14","83,072.03","92,165.03","99,945.22","107,671.07"
Guangxi,67.02,67.32,68.75,76,84.59,97.33,113.46,129.15,134.6,150.27,181,205.46,241.56,313.28,383.44,449.1,518.59,646.6,871.7,1198.29,1498,1698,1817.3,1911.3,2002,2080.04,2279.34,2523.73,2821.11,3433.5,3984.1,4746.16,5823.41,7021,7759.16,"11,153.13","13,660.02","13,704.26","15,191.69","16,477.46","16,205.09","17,665.71","17,864.01","19,627.81","21,237.14"
Hainan,,,,16.4,17.45,19.33,22.23,28.86,31.12,37.18,43.3,48.03,57.6,77.13,91.4,102.49,120.52,184.92,260.41,331.98,364.17,389.68,418,442.13,476.67,526.82,579.17,642.73,713.96,819.66,918.75,1065.67,1254.17,1503.06,1654.21,"2,555.67","3,122.83","3,176.67","3,534.90","3,894.40","3,763.02","4,119.16","4,535.17","4,910.69","5,308.93"
Chongqing,53.37,53.43,60.22,67.32,80.98,90.68,97.2,108.08,120.01,141.64,152,184.6,190.35,240.05,278.47,299.82,341.55,461.32,553.05,755.96,1016.3,1187.47,1509.75,1602.38,1491.99,1791,1976.86,2232.86,2555.72,3034.58,3467.72,3907.23,4676.13,5793.66,6530.01,"10,626.15","13,422.65","13,653.50","15,297.32","17,067.60","16,663.25","18,808.35","20,593.86","21,588.80","23,605.77"
Sichuan,116.99,133.06,156.15,185,205.8,229.31,242.32,275.23,311,358.1,421.2,458.23,530.9,659.7,745,891,1016.31,1177.3,1486.1,2001.41,2443.21,2985.15,3241.47,3474.09,3712,3928.2,4293.49,4725.01,5333.09,6379.63,7385.1,8690.24,10562.39,12601.23,14151.28,"21,958.95","26,867.09","27,592.00","30,503.76","32,982.46","31,696.17","34,735.15","39,002.02","42,902.10","46,615.82"
Guizhou,31.1,29.3,37.72,47,55.28,60.3,67.89,79.39,87.38,108.27,124,139.57,165.5,211.79,235.84,260.14,295.9,339.91,417.69,524.46,636.21,734.4,805.79,858.39,937.5,1029.92,1133.27,1243.43,1426.34,1677.8,2005.42,2338.98,2884.11,3561.56,3912.68,"6,315.23","7,824.25","7,967.24","9,402.81","10,774.28","10,890.39","12,211.61","14,040.85","15,353.21","16,769.34"
Yunnan,54.29,49.27,55.84,69.1,76.83,84.3,94.13,110.12,120.07,139.58,165,182.28,229.03,301.09,363.05,452,517.41,618.69,783.27,983.78,1222.2,1517.69,1676.17,1831.33,1899.82,2011.19,2138.31,2312.82,2556.02,3081.91,3462.73,3988.14,4772.52,5692.12,6169.75,"10,513.37","12,942.18","13,072.43","15,003.40","16,248.93","15,903.75","17,269.14","19,123.43","20,880.63","23,223.75"
Tibet,5.14,5.42,5.81,6.7,7.3,8.7,10.4,10.21,10.29,13.68,18,16.93,17.71,20.25,21.86,27.7,30.53,33.3,37.42,45.99,56.11,64.98,77.24,91.81,105.98,117.8,139.16,162.04,185.09,220.34,248.8,290.76,341.43,394.85,441.36,694.08,828.63,824.08,958.84,"1,082.46","1,075.54","1,206.55","1,373.70","1,548.39","1,697.82"
Shaanxi,64.92,62.94,70,81.1,94.52,94.91,102.1,112,123.4,149.4,181,208.31,245,314.5,358.4,404.3,468.4,540.52,678.2,839.03,1036.85,1215.84,1363.6,1458.4,1592.64,1804,2010.62,2253.39,2587.72,3175.58,3933.72,4743.61,5757.29,7314.58,8169.8,"11,969.95","14,794.48","15,242.57","17,089.96","18,655.47","17,655.76","19,005.51","21,453.96","23,941.88","25,793.17"
Gansu,57.37,56.45,58.72,65,67.5161,73.9025,70.89,76.88,91.5,103.1714,123.4,140.7404,159.5231,191.8432,216.84,243,271.394,317.79,372.2446,453.61,557.8,722.52,793.57,887.67,931.98,1052.88,1125.37,1232.03,1399.83,1688.49,1933.98,2277.35,2703.98,3166.82,3387.56,"4,811.54","5,861.97","5,888.23","6,597.38","7,124.84","6,673.39","7,076.38","7,331.44","8,104.07","8,718.30"
Qinghai,12.42,12.24,13.13,15.54,15.2,17.8,17.5,19.95,22.5,26.42,33.01,38.44,43.4,55,60.4,70,75.1,87.52,109.68,138.4,167.8,184.17,202.794,220.9237,239.4,263.68,300.13,340.65,390.2,466.1,543.32,648.5,797.35,1018.62,1081.27,"1,544.83","1,910.91","1,932.86","2,166.12","2,351.15","2,318.16","2,467.24","2,517.44","2,748.00","2,965.95"
Ningxia,12.06,11.1,12.13,13,14.36,16,17.42,18.22,20.79,24.78,30.3,34.54,39.6301,50.29,59.21,65,71.78,83.1415,104.4935,136.2613,175.19,202.9,224.59,245.44,264.58,295.02,337.44,377.16,445.36,537.11,612.61,725.9,919.11,1203.92,1353.31,"1,917.72","2,385.97","2,413.73","2,657.32","2,837.25","2,758.55","3,001.86","3,262.36","3,510.21","3,748.48"
Xinjiang,28.12,31.78,35.67,39.1,46,53.24,59.41,65.24,79,90,112.24,129.04,149,193,217.42,261.44,335.91,402.31,495.25,674,834.57,912.2,1050.14,1117,1171.2,1363.56,1491.6,1612.65,1886.35,2209.09,2604.19,3045.26,3523.16,4183.21,4277.05,"6,647.28","8,080.75","8,155.38","9,175.20","10,076.68","9,791.31","10,132.47","11,426.38","12,809.39","13,597.11"
sum,2701.6301,2728.65,3006.96,3474.84,3942.0969,4398.6425,4805.5909,5344.3058,6004.1637,7146.1445,8616.35,9679.112,11474.1278,14504.7232,16491.66,18473.83,21236.7771,26057.5443,34288.9947,45491.2588,57666.3685,68128.5066,76731.1044,82849.9493,88405.2141,98692.6,108775.71,120819.3,139537.19,167922.56,199228.1,232836.74,279737.86,333313.95,365303.69,513293.8815,612083.1333,614621.6819,676858.4984,731344.5576,710391.3233,774361.4226,845277.8771,914117.42,985333.11
difference,311.4807,232.85,214.14,170.36,120.5031,146.9575,86.0091,-20.9058,-41.4637,61.9555,399.65,596.088,584.4722,538.0768,500.64,193.97,544.7229,865.9557,1044.9053,2706.6412,3127.3315,3048.0934,2241.8956,1552.3507,1271.8859,1587.5,2087.39,898.1,-2115.19,-6082.36,-11909.2,-13398.24,-9645.56,-14069.35,-16785.99,-101174.5815,-124142.9333,-76041.68192,-83895.29839,-87781.45756,-21533.12334,-27966.32263,-13241.97707,5163.68,5531.99
