# File: nonirrigation_shares_0p5degree.csv
# Title: Volume of water withdrawals at individual basin-province combinations for 2010 as calucated from Khan et al. (2023) data and other years from Huang et al. (2018)
# Units: km^3
# Comments: NA
# Column types: nccnnnnnn
# ----------
GCAM_basin_ID,basin_name,state_abbr,year,Domestic,Electricity,Livestock,Manufacturing,Mining
77,ZiyaHe,HE,1975,0.340756375,0.535357064,1.363767275,1.705366676,0.061357669
77,ZiyaHe,HE,1990,1.865434687,0.94225739,1.502098338,1.665931263,0.056718045
77,ZiyaHe,HE,2005,3.640143173,3.503883101,1.329652785,3.289871199,0.138311613
77,ZiyaHe,HE,2010,3.804772268,4.298630136,5.73E-01,4.786796443,2.01E-01
77,ZiyaHe,LN,1975,0.001309299,0.002057019,0.007701077,0.006552584,0.000235756
77,ZiyaHe,LN,1990,0.011786667,0.005953612,0.008427644,0.010526113,0.00035837
77,ZiyaHe,LN,2005,0.019370369,0.018645286,0.007230041,0.01750646,0.000736
77,ZiyaHe,LN,2010,0.01845088,0.020845796,0.003101496,0.023213112,0.000975861
77,ZiyaHe,NM,1975,0.010105771,0.01587702,0.038648842,0.050575855,0.001819677
77,ZiyaHe,NM,1990,0.071686932,0.036210082,0.044710669,0.0640202,0.002179622
77,ZiyaHe,NM,2005,0.113627327,0.109373959,0.051856303,0.102693563,0.004317407
77,ZiyaHe,NM,2010,0.109115316,0.123278439,0.023123715,0.137278336,0.005771072
77,ZiyaHe,SD,1975,0.093876039,0.147487193,0.435910841,0.469816801,0.016903616
77,ZiyaHe,SD,1990,0.451174691,0.227894705,0.500452036,0.402922721,0.013717846
77,ZiyaHe,SD,2005,0.813389636,0.782942335,0.563943662,0.735121407,0.030905716
77,ZiyaHe,SD,2010,0.824298674,0.931292301,0.251251574,1.037052859,0.043596876
77,ZiyaHe,SX,1975,0.061474953,0.096582347,0.371749108,0.307660673,0.011069374
77,ZiyaHe,SX,1990,0.369601664,0.186691018,0.404000862,0.330073722,0.01123764
77,ZiyaHe,SX,2005,0.711698408,0.685057677,0.336111353,0.643215386,0.027041836
77,ZiyaHe,SX,2010,0.716042798,8.09E-01,0.143782435,9.01E-01,3.79E-02
77,ZiyaHe,TJ,1975,0.039812694,0.062549106,0.064496402,0.199248628,0.007168799
77,ZiyaHe,TJ,1990,0.237480213,0.119954608,0.070536198,0.212082313,0.007220523
77,ZiyaHe,TJ,2005,0.441100089,0.42458856,0.060382006,0.398655328,0.016760128
77,ZiyaHe,TJ,2010,0.441701467,0.499034135,0.025922549,0.555706062,0.02336144
78,ChinaCst,AH,1975,0.005409819,0.008499283,0.025357902,0.027074253,0.000974109
78,ChinaCst,AH,1990,0.020022609,0.010113702,0.027319108,0.017881242,0.000608782
78,ChinaCst,AH,2005,0.030804093,0.029651016,0.02153244,0.027839977,0.001170439
78,ChinaCst,AH,2010,0.028721099,0.032449086,0.009148804,0.036134109,0.001519049
78,ChinaCst,FJ,1975,0.140910215,0.221381858,0.545281532,0.705206429,0.025372738
78,ChinaCst,FJ,1990,0.850019767,0.429356982,0.593320434,0.759112347,0.025844624
78,ChinaCst,FJ,2005,1.728029171,1.663344521,0.499810919,1.561749957,0.065658544
78,ChinaCst,FJ,2010,1.798688029,2.032156992,0.214637395,2.262935296,0.095131996
78,ChinaCst,GD,1975,0.144026985,0.226278566,0.531324682,0.720804766,0.025933954
78,ChinaCst,GD,1990,0.642990911,0.324783784,0.573718368,0.574224694,0.019549968
78,ChinaCst,GD,2005,2.051715145,1.974914088,0.461866238,1.854289308,0.077957382
78,ChinaCst,GD,2010,2.305249636,2.604470086,1.97E-01,2.90E+00,1.22E-01
78,ChinaCst,JS,1975,0.295076133,0.463589545,0.938567233,1.476753017,0.053132341
78,ChinaCst,JS,1990,1.55133167,0.783599524,1.018951715,1.385420751,0.047167826
78,ChinaCst,JS,2005,2.739393669,2.636851006,0.819465285,2.475796138,0.104086553
78,ChinaCst,JS,2010,2.712026319,3.064046214,0.347364303,3.412009187,0.143438147
78,ChinaCst,JX,1975,0.001564624,0.002458157,0.010031351,0.007830397,0.000281731
78,ChinaCst,JX,1990,0.015080999,0.007617625,0.010901443,0.013468125,0.000458534
78,ChinaCst,JX,2005,0.022063379,0.021237489,0.009086448,0.019940336,0.000838325
78,ChinaCst,JX,2010,0.02028196,0.022914549,0.003895661,0.0255168,0.001072706
78,ChinaCst,SD,1975,0.310426221,0.487705832,1.06008192,1.553574844,0.055896326
78,ChinaCst,SD,1990,1.578298672,0.797220936,1.180028517,1.409503701,0.04798775
78,ChinaCst,SD,2005,2.892308543,2.784041881,1.100145795,2.613996801,0.109896737
78,ChinaCst,SD,2010,2.863176599,3.234815739,0.476110335,3.60217185,0.151432434
78,ChinaCst,SH,1975,0.0800338,0.125739862,0.106511781,0.40054122,0.014411139
78,ChinaCst,SH,1990,0.439631299,0.222063972,0.115189197,0.392613872,0.013366872
78,ChinaCst,SH,2005,0.939455154,0.904288888,0.089010121,0.849056304,0.035695726
78,ChinaCst,SH,2010,0.978722872,1.105760697,0.037339396,1.231334449,0.051764319
