# File: urban_income_share_province.csv
# Title: Urban income fraction in China provinces
# Units: NA
# Description: Urban population fraction in China provinces
# Source: China Statistical Yearbook
# Column types: cnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
Jiangsu,0.407335879,0.416653292,0.425970704,0.435288117,0.44460553,0.453922943,0.463240355,0.472557768,0.481875181,0.491192594,0.500510007,0.509827419,0.519144832,0.528462245,0.537779658,0.54709707,0.556414483,0.565731896,0.575049309,0.584366721,0.593684134,0.603001547,0.61231896,0.621636373,0.630953785,0.640271198,0.649588611,0.658906024,0.668223436,0.677540849,0.686858262,0.696175675,0.705493088,0.7148105,0.701263485,0.719978816,0.735877238,0.747233075,0.758750132,0.79057649,0.79527365,0.801731607,0.80858799,0.814783663,0.826009274,0.834969968,0.842716011,0.848396368,0.855606681,0.858550667,0.859488939,0.860072535,0.865695601,0.872840534,0.879985467,0.8871304,0.894275334,0.897523031,0.900770728,0.904018424,0.907266121,0.910513818,0.913761515,0.917009212,0.920256909,0.923504606,0.926752303,0.93
Zhejiang,0.529855583,0.536074005,0.542292427,0.548510849,0.554729271,0.560947693,0.567166115,0.573384537,0.579602959,0.585821381,0.592039803,0.598258225,0.604476647,0.610695069,0.616913491,0.623131913,0.629350335,0.635568757,0.64178718,0.648005602,0.654224024,0.660442446,0.666660868,0.67287929,0.679097712,0.685316134,0.691534556,0.697752978,0.7039714,0.710189822,0.716408244,0.722626666,0.728845088,0.73506351,0.74531984,0.750845763,0.754567034,0.753457474,0.754667473,0.778049306,0.779310626,0.784056141,0.789807182,0.794448276,0.802914418,0.812523518,0.819937254,0.826171997,0.835327735,0.835860292,0.837770396,0.839458635,0.843274263,0.850688234,0.858102204,0.865516175,0.872930146,0.876300133,0.879670119,0.883040106,0.886410093,0.88978008,0.893150066,0.896520053,0.89989004,0.903260027,0.906630013,0.91
Anhui,0.323592166,0.332655956,0.341719746,0.350783536,0.359847326,0.368911116,0.377974907,0.387038697,0.396102487,0.405166277,0.414230067,0.423293857,0.432357647,0.441421437,0.450485227,0.459549017,0.468612807,0.477676597,0.486740387,0.495804178,0.504867968,0.513931758,0.522995548,0.532059338,0.541123128,0.550186918,0.559250708,0.568314498,0.577378288,0.586442078,0.595505868,0.604569659,0.613633449,0.622697239,0.624191337,0.6442638,0.653272341,0.658653172,0.674092852,0.670370686,0.68605813,0.695494989,0.702724167,0.709010491,0.721297856,0.734299938,0.746504742,0.755073106,0.763668281,0.768618735,0.773997929,0.776865848,0.775756862,0.782894988,0.790033115,0.797171241,0.804309368,0.807553971,0.810798574,0.814043177,0.817287779,0.820532382,0.823776985,0.827021588,0.830266191,0.833510794,0.836755397,0.84
Fujian,0.488102136,0.495216647,0.502331157,0.509445667,0.516560177,0.523674687,0.530789197,0.537903707,0.545018217,0.552132727,0.559247237,0.566361747,0.573476257,0.580590767,0.587705277,0.594819787,0.601934298,0.609048808,0.616163318,0.623277828,0.630392338,0.637506848,0.644621358,0.651735868,0.658850378,0.665964888,0.673079398,0.680193908,0.687308418,0.694422928,0.701537438,0.708651949,0.715766459,0.722880969,0.716637197,0.728425436,0.734096289,0.748846107,0.764827039,0.777835043,0.779210771,0.786235651,0.793011478,0.798505153,0.805753814,0.812808299,0.821101747,0.827441864,0.831247767,0.832515532,0.8350507,0.834888769,0.844263979,0.856012426,0.867760873,0.879509319,0.891257766,0.896597969,0.901938172,0.907278375,0.912618578,0.917958782,0.923298985,0.928639188,0.933979391,0.939319594,0.944659797,0.95
Jiangxi,0.282366453,0.292383859,0.302401265,0.312418671,0.322436077,0.332453483,0.342470888,0.352488294,0.3625057,0.372523106,0.382540512,0.392557918,0.402575324,0.41259273,0.422610136,0.432627542,0.442644948,0.452662354,0.462679759,0.472697165,0.482714571,0.492731977,0.502749383,0.512766789,0.522784195,0.532801601,0.542819007,0.552836413,0.562853819,0.572871225,0.58288863,0.592906036,0.602923442,0.612940848,0.614755349,0.631546097,0.647828621,0.654605564,0.672777987,0.673026914,0.676580247,0.690724925,0.700773809,0.710734056,0.722934682,0.734817795,0.747682644,0.758705583,0.76959755,0.776187736,0.780571722,0.7820604,0.783568962,0.790950189,0.798331415,0.805712641,0.813093868,0.816448971,0.819804074,0.823159177,0.82651428,0.829869382,0.833224485,0.836579588,0.839934691,0.843289794,0.846644897,0.85
Shandong,0.440382796,0.447705119,0.455027441,0.462349764,0.469672086,0.476994408,0.484316731,0.491639053,0.498961376,0.506283698,0.51360602,0.520928343,0.528250665,0.535572987,0.54289531,0.550217632,0.557539955,0.564862277,0.572184599,0.579506922,0.586829244,0.594151566,0.601473889,0.608796211,0.616118534,0.623440856,0.630763178,0.638085501,0.645407823,0.652730146,0.660052468,0.66737479,0.674697113,0.682019435,0.683676756,0.696660427,0.706374605,0.71456069,0.720970203,0.727119598,0.727747213,0.736489437,0.742874563,0.748634798,0.763620553,0.779073415,0.790473333,0.794638171,0.794369737,0.79914158,0.800556498,0.801485384,0.810227422,0.821313264,0.832399106,0.843484948,0.85457079,0.859609809,0.864648828,0.869687847,0.874726866,0.879765885,0.884804904,0.889843924,0.894882943,0.899921962,0.904960981,0.91
Henan,0.216850654,0.227277683,0.237704711,0.24813174,0.258558768,0.268985797,0.279412825,0.289839853,0.300266882,0.31069391,0.321120939,0.331547967,0.341974996,0.352402024,0.362829053,0.373256081,0.38368311,0.394110138,0.404537167,0.414964195,0.425391224,0.435818252,0.446245281,0.456672309,0.467099338,0.477526366,0.487953394,0.498380423,0.508807451,0.51923448,0.529661508,0.540088537,0.550515565,0.560942594,0.558825444,0.576963562,0.593297659,0.608623929,0.625624895,0.623480383,0.632082312,0.643285273,0.652055512,0.660703889,0.676493075,0.689205325,0.703880328,0.715969726,0.725969182,0.728455965,0.732797401,0.732274699,0.735610369,0.742764772,0.749919176,0.757073579,0.764227983,0.767479984,0.770731986,0.773983987,0.777235989,0.78048799,0.783739992,0.786991994,0.790243995,0.793495997,0.796747998,0.8
Hubei,0.378770159,0.387235116,0.395700074,0.404165031,0.412629989,0.421094947,0.429559904,0.438024862,0.446489819,0.454954777,0.463419735,0.471884692,0.48034965,0.488814607,0.497279565,0.505744522,0.51420948,0.522674438,0.531139395,0.539604353,0.54806931,0.556534268,0.564999225,0.573464183,0.581929141,0.590394098,0.598859056,0.607324013,0.615788971,0.624253929,0.632718886,0.641183844,0.649648801,0.658113759,0.670200318,0.676353428,0.679465675,0.681766956,0.689250489,0.711257075,0.721481692,0.732229341,0.736955523,0.74247984,0.753075064,0.765536338,0.775035935,0.78247038,0.787994217,0.792306526,0.797394163,0.798302445,0.805075874,0.817845221,0.830614568,0.843383916,0.856153263,0.861957512,0.867761761,0.87356601,0.879370258,0.885174507,0.890978756,0.896783005,0.902587254,0.908391502,0.914195751,0.92
Hunan,0.352802927,0.361481087,0.370159247,0.378837407,0.387515567,0.396193727,0.404871887,0.413550047,0.422228207,0.430906367,0.439584527,0.448262687,0.456940847,0.465619007,0.474297167,0.482975327,0.491653487,0.500331647,0.509009807,0.517687967,0.526366127,0.535044287,0.543722447,0.552400607,0.561078768,0.569756928,0.578435088,0.587113248,0.595791408,0.604469568,0.613147728,0.621825888,0.630504048,0.639182208,0.637233744,0.656441608,0.675556608,0.684042163,0.693267367,0.684576777,0.693332845,0.703706637,0.71044708,0.71715012,0.730307637,0.744963515,0.759543456,0.76890201,0.777526745,0.781811511,0.784223527,0.786211756,0.793630359,0.805449208,0.817268057,0.829086906,0.840905755,0.846277959,0.851650163,0.857022367,0.862394572,0.867766776,0.87313898,0.878511184,0.883883388,0.889255592,0.894627796,0.9
Guangdong,0.724278012,0.727315542,0.730353072,0.733390602,0.736428133,0.739465663,0.742503193,0.745540723,0.748578253,0.751615783,0.754653313,0.757690843,0.760728373,0.763765903,0.766803433,0.769840963,0.772878493,0.775916023,0.778953553,0.781991083,0.785028613,0.788066143,0.791103673,0.794141203,0.797178733,0.800216263,0.803253793,0.806291324,0.809328854,0.812366384,0.815403914,0.818441444,0.821478974,0.824516504,0.823979612,0.837313953,0.837282787,0.835156819,0.836481613,0.847977995,0.843214629,0.846526302,0.850636445,0.851657986,0.855701193,0.859183561,0.86261607,0.868056097,0.871655382,0.877417441,0.878549533,0.877307287,0.883675697,0.889933953,0.896192209,0.902450465,0.90870872,0.911553382,0.914398044,0.917242706,0.920087368,0.922932029,0.925776691,0.928621353,0.931466015,0.934310676,0.937155338,0.94
