# File: ABSPI_intra_province_electricity_trade.csv
# Title: Intraprovince electricity trade
# Units: GWh
# Comments: obtained from Annual Book of Statistics for Power Industry from 2005 to 2019 preprocessed from original data format in Chinese
# Column types: ccnic
# ----------
from.region,to.region,value,year,units
XJ,SX,0,2008,GWh
BJ,NM,0,2008,GWh
TJ,NM,0,2008,GWh
HE,NM,0,2008,GWh
SX,NM,0,2008,GWh
NM,NM,0,2008,GWh
LN,NM,22.92,2008,GWh
JL,NM,282.31,2008,GWh
HL,NM,4.63,2008,GWh
SH,NM,0,2008,GWh
JS,NM,0,2008,GWh
ZJ,NM,0,2008,GWh
AH,NM,0,2008,GWh
FJ,NM,0,2008,GWh
JX,NM,0,2008,GWh
SD,NM,0,2008,GWh
HA,NM,0,2008,GWh
HB,NM,0,2008,GWh
HN,NM,0,2008,GWh
GD,NM,0,2008,GWh
GX,NM,0,2008,GWh
HI,NM,0,2008,GWh
CQ,NM,0,2008,GWh
SC,NM,0,2008,GWh
GZ,NM,0,2008,GWh
YN,NM,0,2008,GWh
SN,NM,0,2008,GWh
GS,NM,0,2008,GWh
QH,NM,0,2008,GWh
NX,NM,484.95,2008,GWh
XJ,NM,0,2008,GWh
BJ,LN,0,2008,GWh
TJ,LN,0,2008,GWh
HE,LN,0,2008,GWh
SX,LN,0,2008,GWh
NM,LN,7641.496667,2008,GWh
LN,LN,0,2008,GWh
JL,LN,20350.03,2008,GWh
HL,LN,0,2008,GWh
SH,LN,0,2008,GWh
JS,LN,0,2008,GWh
ZJ,LN,0,2008,GWh
AH,LN,0,2008,GWh
FJ,LN,0,2008,GWh
JX,LN,0,2008,GWh
SD,LN,0,2008,GWh
HA,LN,0,2008,GWh
HB,LN,0,2008,GWh
HN,LN,0,2008,GWh
GD,LN,0,2008,GWh
GX,LN,0,2008,GWh
HI,LN,0,2008,GWh
CQ,LN,0,2008,GWh
SC,LN,0,2008,GWh
GZ,LN,0,2008,GWh
YN,LN,0,2008,GWh
SN,LN,0,2008,GWh
GS,LN,0,2008,GWh
QH,LN,0,2008,GWh
NX,LN,0,2008,GWh
XJ,LN,0,2008,GWh
BJ,JL,0,2008,GWh
TJ,JL,0,2008,GWh
HE,JL,0,2008,GWh
SX,JL,0,2008,GWh
NM,JL,7641.496667,2008,GWh
LN,JL,3.4,2008,GWh
JL,JL,0,2008,GWh
HL,JL,16876.14,2008,GWh
SH,JL,0,2008,GWh
JS,JL,0,2008,GWh
ZJ,JL,0,2008,GWh
AH,JL,0,2008,GWh
FJ,JL,0,2008,GWh
JX,JL,0,2008,GWh
SD,JL,0,2008,GWh
HA,JL,0,2008,GWh
HB,JL,0,2008,GWh
HN,JL,0,2008,GWh
GD,JL,0,2008,GWh
GX,JL,0,2008,GWh
HI,JL,0,2008,GWh
CQ,JL,0,2008,GWh
SC,JL,0,2008,GWh
GZ,JL,0,2008,GWh
YN,JL,0,2008,GWh
SN,JL,0,2008,GWh
GS,JL,0,2008,GWh
QH,JL,0,2008,GWh
NX,JL,0,2008,GWh
XJ,JL,0,2008,GWh
BJ,HL,0,2008,GWh
TJ,HL,0,2008,GWh
HE,HL,0,2008,GWh
SX,HL,0,2008,GWh
NM,HL,7641.496667,2008,GWh
LN,HL,0,2008,GWh
JL,HL,27.29,2008,GWh
HL,HL,0,2008,GWh
SH,HL,0,2008,GWh
JS,HL,0,2008,GWh
ZJ,HL,0,2008,GWh
AH,HL,0,2008,GWh
FJ,HL,0,2008,GWh
JX,HL,0,2008,GWh
SD,HL,0,2008,GWh
HA,HL,0,2008,GWh
HB,HL,0,2008,GWh
HN,HL,0,2008,GWh
GD,HL,0,2008,GWh
GX,HL,0,2008,GWh
HI,HL,0,2008,GWh
CQ,HL,0,2008,GWh
SC,HL,0,2008,GWh
GZ,HL,0,2008,GWh
YN,HL,0,2008,GWh
SN,HL,0,2008,GWh
GS,HL,0,2008,GWh
QH,HL,0,2008,GWh
NX,HL,0,2008,GWh
XJ,HL,0,2008,GWh
BJ,SH,0,2008,GWh
TJ,SH,0,2008,GWh
HE,SH,0,2008,GWh
SX,SH,0,2008,GWh
NM,SH,0,2008,GWh
LN,SH,0,2008,GWh
JL,SH,0,2008,GWh
HL,SH,0,2008,GWh
SH,SH,0,2008,GWh
JS,SH,14225.23,2008,GWh
ZJ,SH,2541.95,2008,GWh
AH,SH,0,2008,GWh
FJ,SH,0,2008,GWh
JX,SH,0,2008,GWh
SD,SH,0,2008,GWh
HA,SH,0,2008,GWh
HB,SH,23185.7,2008,GWh
HN,SH,0,2008,GWh
GD,SH,0,2008,GWh
GX,SH,0,2008,GWh
HI,SH,0,2008,GWh
CQ,SH,0,2008,GWh
SC,SH,0,2008,GWh
GZ,SH,0,2008,GWh
YN,SH,0,2008,GWh
SN,SH,0,2008,GWh
GS,SH,0,2008,GWh
QH,SH,0,2008,GWh
NX,SH,0,2008,GWh
XJ,SH,0,2008,GWh
BJ,JS,0,2008,GWh
TJ,JS,0,2008,GWh
HE,JS,0,2008,GWh
SX,JS,16903.64,2008,GWh
NM,JS,0,2008,GWh
LN,JS,0,2008,GWh
JL,JS,0,2008,GWh
HL,JS,0,2008,GWh
SH,JS,2270.64,2008,GWh
JS,JS,0,2008,GWh
ZJ,JS,460.68,2008,GWh
AH,JS,9888.49,2008,GWh
FJ,JS,0,2008,GWh
JX,JS,0,2008,GWh
SD,JS,0,2008,GWh
HA,JS,0,2008,GWh
HB,JS,13947.03,2008,GWh
HN,JS,0,2008,GWh
GD,JS,0,2008,GWh
GX,JS,0,2008,GWh
HI,JS,0,2008,GWh
CQ,JS,0,2008,GWh
SC,JS,0,2008,GWh
GZ,JS,0,2008,GWh
YN,JS,0,2008,GWh
SN,JS,0,2008,GWh
GS,JS,0,2008,GWh
QH,JS,0,2008,GWh
NX,JS,0,2008,GWh
XJ,JS,0,2008,GWh
BJ,ZJ,0,2008,GWh
TJ,ZJ,0,2008,GWh
HE,ZJ,0,2008,GWh
SX,ZJ,0,2008,GWh
NM,ZJ,0,2008,GWh
LN,ZJ,0,2008,GWh
JL,ZJ,0,2008,GWh
HL,ZJ,0,2008,GWh
SH,ZJ,1749.72,2008,GWh
JS,ZJ,4344.1,2008,GWh
ZJ,ZJ,0,2008,GWh
AH,ZJ,14905.36,2008,GWh
FJ,ZJ,2133.04,2008,GWh
JX,ZJ,0,2008,GWh
SD,ZJ,0,2008,GWh
HA,ZJ,0,2008,GWh
HB,ZJ,0,2008,GWh
HN,ZJ,0,2008,GWh
GD,ZJ,0,2008,GWh
GX,ZJ,0,2008,GWh
HI,ZJ,0,2008,GWh
CQ,ZJ,0,2008,GWh
SC,ZJ,0,2008,GWh
GZ,ZJ,0,2008,GWh
YN,ZJ,0,2008,GWh
SN,ZJ,0,2008,GWh
GS,ZJ,0,2008,GWh
QH,ZJ,0,2008,GWh
NX,ZJ,0,2008,GWh
XJ,ZJ,0,2008,GWh
BJ,AH,0,2008,GWh
TJ,AH,0,2008,GWh
HE,AH,0,2008,GWh
SX,AH,0,2008,GWh
NM,AH,0,2008,GWh
LN,AH,0,2008,GWh
JL,AH,0,2008,GWh
HL,AH,0,2008,GWh
SH,AH,0,2008,GWh
JS,AH,425.5,2008,GWh
ZJ,AH,1.7,2008,GWh
AH,AH,0,2008,GWh
FJ,AH,0,2008,GWh
JX,AH,0,2008,GWh
SD,AH,0,2008,GWh
HA,AH,0,2008,GWh
HB,AH,0,2008,GWh
HN,AH,0,2008,GWh
GD,AH,0,2008,GWh
GX,AH,0,2008,GWh
HI,AH,0,2008,GWh
CQ,AH,0,2008,GWh
SC,AH,0,2008,GWh
GZ,AH,0,2008,GWh
YN,AH,0,2008,GWh
SN,AH,0,2008,GWh
GS,AH,0,2008,GWh
QH,AH,0,2008,GWh
NX,AH,0,2008,GWh
XJ,AH,0,2008,GWh
BJ,FJ,0,2008,GWh
TJ,FJ,0,2008,GWh
HE,FJ,0,2008,GWh
SX,FJ,0,2008,GWh
NM,FJ,0,2008,GWh
LN,FJ,0,2008,GWh
JL,FJ,0,2008,GWh
HL,FJ,0,2008,GWh
SH,FJ,0,2008,GWh
JS,FJ,0,2008,GWh
ZJ,FJ,918.73,2008,GWh
AH,FJ,0,2008,GWh
FJ,FJ,0,2008,GWh
JX,FJ,0,2008,GWh
SD,FJ,0,2008,GWh
HA,FJ,0,2008,GWh
HB,FJ,0,2008,GWh
HN,FJ,0,2008,GWh
GD,FJ,0,2008,GWh
GX,FJ,0,2008,GWh
HI,FJ,0,2008,GWh
CQ,FJ,0,2008,GWh
SC,FJ,0,2008,GWh
GZ,FJ,0,2008,GWh
YN,FJ,0,2008,GWh
SN,FJ,0,2008,GWh
GS,FJ,0,2008,GWh
QH,FJ,0,2008,GWh
NX,FJ,0,2008,GWh
XJ,FJ,0,2008,GWh
BJ,JX,0,2008,GWh
TJ,JX,0,2008,GWh
HE,JX,0,2008,GWh
SX,JX,0,2008,GWh
NM,JX,0,2008,GWh
LN,JX,0,2008,GWh
JL,JX,0,2008,GWh
HL,JX,0,2008,GWh
SH,JX,0,2008,GWh
JS,JX,0,2008,GWh
ZJ,JX,0,2008,GWh
AH,JX,0,2008,GWh
FJ,JX,0,2008,GWh
JX,JX,0,2008,GWh
SD,JX,0,2008,GWh
HA,JX,0,2008,GWh
HB,JX,5470.34,2008,GWh
HN,JX,0,2008,GWh
GD,JX,0,2008,GWh
GX,JX,0,2008,GWh
HI,JX,0,2008,GWh
CQ,JX,0,2008,GWh
SC,JX,0,2008,GWh
GZ,JX,0,2008,GWh
YN,JX,0,2008,GWh
SN,JX,0,2008,GWh
GS,JX,0,2008,GWh
QH,JX,0,2008,GWh
NX,JX,0,2008,GWh
XJ,JX,0,2008,GWh
BJ,SD,0,2008,GWh
TJ,SD,0,2008,GWh
HE,SD,113.21,2008,GWh
SX,SD,0,2008,GWh
NM,SD,0,2008,GWh
LN,SD,0,2008,GWh
JL,SD,0,2008,GWh
HL,SD,0,2008,GWh
SH,SD,0,2008,GWh
JS,SD,0,2008,GWh
ZJ,SD,0,2008,GWh
AH,SD,0,2008,GWh
FJ,SD,0,2008,GWh
JX,SD,0,2008,GWh
SD,SD,0,2008,GWh
HA,SD,0,2008,GWh
HB,SD,0,2008,GWh
HN,SD,0,2008,GWh
GD,SD,0,2008,GWh
GX,SD,0,2008,GWh
HI,SD,0,2008,GWh
CQ,SD,0,2008,GWh
SC,SD,0,2008,GWh
GZ,SD,0,2008,GWh
YN,SD,0,2008,GWh
SN,SD,0,2008,GWh
GS,SD,0,2008,GWh
QH,SD,0,2008,GWh
NX,SD,0,2008,GWh
XJ,SD,0,2008,GWh
BJ,HA,0,2008,GWh
TJ,HA,0,2008,GWh
HE,HA,3.46,2008,GWh
SX,HA,0,2008,GWh
NM,HA,0,2008,GWh
LN,HA,0,2008,GWh
JL,HA,0,2008,GWh
HL,HA,0,2008,GWh
SH,HA,0,2008,GWh
JS,HA,0,2008,GWh
ZJ,HA,0,2008,GWh
AH,HA,0,2008,GWh
FJ,HA,0,2008,GWh
JX,HA,25.02666667,2008,GWh
SD,HA,0,2008,GWh
HA,HA,0,2008,GWh
HB,HA,3284.98,2008,GWh
HN,HA,0,2008,GWh
GD,HA,0,2008,GWh
GX,HA,0,2008,GWh
HI,HA,0,2008,GWh
CQ,HA,0,2008,GWh
SC,HA,0,2008,GWh
GZ,HA,0,2008,GWh
YN,HA,0,2008,GWh
SN,HA,1432.293333,2008,GWh
GS,HA,0,2008,GWh
QH,HA,0,2008,GWh
NX,HA,0,2008,GWh
XJ,HA,0,2008,GWh
BJ,HB,0,2008,GWh
TJ,HB,0,2008,GWh
HE,HB,0,2008,GWh
SX,HB,0,2008,GWh
NM,HB,0,2008,GWh
LN,HB,0,2008,GWh
JL,HB,0,2008,GWh
HL,HB,0,2008,GWh
SH,HB,1.88,2008,GWh
JS,HB,1452.35,2008,GWh
ZJ,HB,0,2008,GWh
AH,HB,0,2008,GWh
FJ,HB,0,2008,GWh
JX,HB,25.02666667,2008,GWh
SD,HB,0,2008,GWh
HA,HB,6415.75,2008,GWh
HB,HB,0,2008,GWh
HN,HB,28.27,2008,GWh
GD,HB,0,2008,GWh
GX,HB,0,2008,GWh
HI,HB,0,2008,GWh
CQ,HB,1221.83,2008,GWh
SC,HB,0,2008,GWh
GZ,HB,0,2008,GWh
YN,HB,0,2008,GWh
SN,HB,1359.923333,2008,GWh
GS,HB,0,2008,GWh
QH,HB,0,2008,GWh
NX,HB,0,2008,GWh
XJ,HB,0,2008,GWh
BJ,HN,0,2008,GWh
TJ,HN,0,2008,GWh
HE,HN,0,2008,GWh
SX,HN,0,2008,GWh
NM,HN,0,2008,GWh
LN,HN,0,2008,GWh
JL,HN,0,2008,GWh
HL,HN,0,2008,GWh
SH,HN,0,2008,GWh
JS,HN,0,2008,GWh
ZJ,HN,0,2008,GWh
AH,HN,0,2008,GWh
FJ,HN,0,2008,GWh
JX,HN,25.02666667,2008,GWh
SD,HN,0,2008,GWh
HA,HN,0,2008,GWh
HB,HN,11207.74,2008,GWh
HN,HN,0,2008,GWh
GD,HN,0,2008,GWh
GX,HN,72.69,2008,GWh
HI,HN,0,2008,GWh
CQ,HN,2240.24,2008,GWh
SC,HN,0,2008,GWh
GZ,HN,500,2008,GWh
YN,HN,0,2008,GWh
SN,HN,1048.023333,2008,GWh
GS,HN,0,2008,GWh
QH,HN,0,2008,GWh
NX,HN,0,2008,GWh
XJ,HN,0,2008,GWh
BJ,GD,0,2008,GWh
TJ,GD,0,2008,GWh
HE,GD,0,2008,GWh
SX,GD,0,2008,GWh
NM,GD,0,2008,GWh
LN,GD,0,2008,GWh
JL,GD,0,2008,GWh
HL,GD,0,2008,GWh
SH,GD,0,2008,GWh
JS,GD,0,2008,GWh
ZJ,GD,0,2008,GWh
AH,GD,0,2008,GWh
FJ,GD,15.07,2008,GWh
JX,GD,0,2008,GWh
SD,GD,0,2008,GWh
HA,GD,0,2008,GWh
HB,GD,14364.34,2008,GWh
HN,GD,8706.22,2008,GWh
GD,GD,0,2008,GWh
GX,GD,16327.21,2008,GWh
HI,GD,0,2008,GWh
CQ,GD,0,2008,GWh
SC,GD,0,2008,GWh
GZ,GD,32126.32,2008,GWh
YN,GD,17785.33,2008,GWh
SN,GD,0,2008,GWh
GS,GD,0,2008,GWh
QH,GD,0,2008,GWh
NX,GD,0,2008,GWh
XJ,GD,0,2008,GWh
BJ,GX,0,2008,GWh
TJ,GX,0,2008,GWh
HE,GX,0,2008,GWh
SX,GX,0,2008,GWh
NM,GX,0,2008,GWh
LN,GX,0,2008,GWh
JL,GX,0,2008,GWh
HL,GX,0,2008,GWh
SH,GX,0,2008,GWh
JS,GX,0,2008,GWh
ZJ,GX,0,2008,GWh
AH,GX,0,2008,GWh
FJ,GX,0,2008,GWh
JX,GX,0,2008,GWh
SD,GX,0,2008,GWh
HA,GX,0,2008,GWh
HB,GX,0,2008,GWh
HN,GX,236.76,2008,GWh
GD,GX,240.89,2008,GWh
GX,GX,0,2008,GWh
HI,GX,0,2008,GWh
CQ,GX,0,2008,GWh
SC,GX,0,2008,GWh
GZ,GX,1719.75,2008,GWh
YN,GX,146.23,2008,GWh
SN,GX,0,2008,GWh
GS,GX,0,2008,GWh
QH,GX,0,2008,GWh
NX,GX,0,2008,GWh
XJ,GX,0,2008,GWh
BJ,HI,0,2008,GWh
TJ,HI,0,2008,GWh
HE,HI,0,2008,GWh
SX,HI,0,2008,GWh
NM,HI,0,2008,GWh
LN,HI,0,2008,GWh
JL,HI,0,2008,GWh
HL,HI,0,2008,GWh
SH,HI,0,2008,GWh
JS,HI,0,2008,GWh
ZJ,HI,0,2008,GWh
AH,HI,0,2008,GWh
FJ,HI,0,2008,GWh
JX,HI,0,2008,GWh
SD,HI,0,2008,GWh
HA,HI,0,2008,GWh
HB,HI,0,2008,GWh
HN,HI,0,2008,GWh
GD,HI,0,2008,GWh
GX,HI,0,2008,GWh
HI,HI,0,2008,GWh
CQ,HI,0,2008,GWh
SC,HI,0,2008,GWh
GZ,HI,0,2008,GWh
YN,HI,0,2008,GWh
SN,HI,0,2008,GWh
GS,HI,0,2008,GWh
QH,HI,0,2008,GWh
NX,HI,0,2008,GWh
XJ,HI,0,2008,GWh
BJ,CQ,0,2008,GWh
TJ,CQ,0,2008,GWh
HE,CQ,0,2008,GWh
SX,CQ,0,2008,GWh
NM,CQ,0,2008,GWh
LN,CQ,0,2008,GWh
JL,CQ,0,2008,GWh
HL,CQ,0,2008,GWh
SH,CQ,0,2008,GWh
JS,CQ,0,2008,GWh
ZJ,CQ,0,2008,GWh
AH,CQ,0,2008,GWh
FJ,CQ,0,2008,GWh
JX,CQ,0,2008,GWh
SD,CQ,0,2008,GWh
HA,CQ,0,2008,GWh
HB,CQ,5530.69,2008,GWh
HN,CQ,0,2008,GWh
GD,CQ,0,2008,GWh
GX,CQ,0,2008,GWh
HI,CQ,0,2008,GWh
CQ,CQ,0,2008,GWh
SC,CQ,4783.64,2008,GWh
GZ,CQ,231.26,2008,GWh
YN,CQ,0,2008,GWh
SN,CQ,0,2008,GWh
GS,CQ,0,2008,GWh
QH,CQ,0,2008,GWh
NX,CQ,0,2008,GWh
XJ,CQ,0,2008,GWh
BJ,SC,0,2008,GWh
TJ,SC,0,2008,GWh
HE,SC,0,2008,GWh
SX,SC,0,2008,GWh
NM,SC,0,2008,GWh
LN,SC,0,2008,GWh
JL,SC,0,2008,GWh
HL,SC,0,2008,GWh
SH,SC,0,2008,GWh
JS,SC,0,2008,GWh
ZJ,SC,0,2008,GWh
AH,SC,0,2008,GWh
FJ,SC,0,2008,GWh
JX,SC,0,2008,GWh
SD,SC,0,2008,GWh
HA,SC,0,2008,GWh
HB,SC,0,2008,GWh
HN,SC,0,2008,GWh
GD,SC,0,2008,GWh
GX,SC,0,2008,GWh
HI,SC,0,2008,GWh
CQ,SC,26.19,2008,GWh
SC,SC,0,2008,GWh
GZ,SC,0,2008,GWh
YN,SC,14.45,2008,GWh
SN,SC,149.64,2008,GWh
GS,SC,407.6,2008,GWh
QH,SC,0,2008,GWh
NX,SC,0,2008,GWh
XJ,SC,0,2008,GWh
BJ,GZ,0,2008,GWh
TJ,GZ,0,2008,GWh
HE,GZ,0,2008,GWh
SX,GZ,0,2008,GWh
NM,GZ,0,2008,GWh
LN,GZ,0,2008,GWh
JL,GZ,0,2008,GWh
HL,GZ,0,2008,GWh
SH,GZ,0,2008,GWh
JS,GZ,0,2008,GWh
ZJ,GZ,0,2008,GWh
AH,GZ,0,2008,GWh
FJ,GZ,0,2008,GWh
JX,GZ,0,2008,GWh
SD,GZ,0,2008,GWh
HA,GZ,0,2008,GWh
HB,GZ,0,2008,GWh
HN,GZ,4.56,2008,GWh
GD,GZ,0,2008,GWh
GX,GZ,256.18,2008,GWh
HI,GZ,0,2008,GWh
CQ,GZ,565.63,2008,GWh
SC,GZ,62.67,2008,GWh
GZ,GZ,1896.93,2008,GWh
YN,GZ,154.42,2008,GWh
SN,GZ,0,2008,GWh
GS,GZ,0,2008,GWh
QH,GZ,0,2008,GWh
NX,GZ,0,2008,GWh
XJ,GZ,0,2008,GWh
BJ,YN,0,2008,GWh
TJ,YN,0,2008,GWh
HE,YN,0,2008,GWh
SX,YN,0,2008,GWh
NM,YN,0,2008,GWh
LN,YN,0,2008,GWh
JL,YN,0,2008,GWh
HL,YN,0,2008,GWh
SH,YN,0,2008,GWh
JS,YN,0,2008,GWh
ZJ,YN,0,2008,GWh
AH,YN,0,2008,GWh
FJ,YN,0,2008,GWh
JX,YN,0,2008,GWh
SD,YN,0,2008,GWh
HA,YN,0,2008,GWh
HB,YN,0,2008,GWh
HN,YN,0,2008,GWh
GD,YN,0,2008,GWh
GX,YN,0,2008,GWh
HI,YN,0,2008,GWh
CQ,YN,0,2008,GWh
SC,YN,127.4,2008,GWh
GZ,YN,0,2008,GWh
YN,YN,0,2008,GWh
SN,YN,0,2008,GWh
GS,YN,0,2008,GWh
QH,YN,0,2008,GWh
NX,YN,0,2008,GWh
XJ,YN,0,2008,GWh
BJ,SN,0,2008,GWh
TJ,SN,0,2008,GWh
HE,SN,5.32,2008,GWh
SX,SN,639.48,2008,GWh
NM,SN,0,2008,GWh
LN,SN,0,2008,GWh
JL,SN,0,2008,GWh
HL,SN,0,2008,GWh
SH,SN,0,2008,GWh
JS,SN,0,2008,GWh
ZJ,SN,0,2008,GWh
AH,SN,0,2008,GWh
FJ,SN,0,2008,GWh
JX,SN,0,2008,GWh
SD,SN,0,2008,GWh
HA,SN,0,2008,GWh
HB,SN,0,2008,GWh
HN,SN,0,2008,GWh
GD,SN,0,2008,GWh
GX,SN,0,2008,GWh
HI,SN,0,2008,GWh
CQ,SN,0,2008,GWh
SC,SN,0,2008,GWh
GZ,SN,0,2008,GWh
YN,SN,0,2008,GWh
SN,SN,0,2008,GWh
GS,SN,3435.21,2008,GWh
QH,SN,780.9875,2008,GWh
NX,SN,784.17,2008,GWh
XJ,SN,0,2008,GWh
BJ,GS,0,2008,GWh
TJ,GS,0,2008,GWh
HE,GS,0,2008,GWh
SX,GS,0,2008,GWh
NM,GS,0,2008,GWh
LN,GS,0,2008,GWh
JL,GS,0,2008,GWh
HL,GS,0,2008,GWh
SH,GS,0,2008,GWh
JS,GS,0,2008,GWh
ZJ,GS,0,2008,GWh
AH,GS,0,2008,GWh
FJ,GS,0,2008,GWh
JX,GS,0,2008,GWh
SD,GS,0,2008,GWh
HA,GS,0,2008,GWh
HB,GS,0,2008,GWh
HN,GS,0,2008,GWh
GD,GS,0,2008,GWh
GX,GS,0,2008,GWh
HI,GS,0,2008,GWh
CQ,GS,0,2008,GWh
SC,GS,0,2008,GWh
GZ,GS,0,2008,GWh
YN,GS,0,2008,GWh
SN,GS,600.51,2008,GWh
GS,GS,0,2008,GWh
QH,GS,780.9875,2008,GWh
NX,GS,2176.11,2008,GWh
XJ,GS,0,2008,GWh
BJ,QH,0,2008,GWh
TJ,QH,0,2008,GWh
HE,QH,0,2008,GWh
SX,QH,0,2008,GWh
NM,QH,0,2008,GWh
LN,QH,0,2008,GWh
JL,QH,0,2008,GWh
HL,QH,0,2008,GWh
SH,QH,0,2008,GWh
JS,QH,0,2008,GWh
ZJ,QH,0,2008,GWh
AH,QH,0,2008,GWh
FJ,QH,0,2008,GWh
JX,QH,0,2008,GWh
SD,QH,0,2008,GWh
HA,QH,0,2008,GWh
HB,QH,0,2008,GWh
HN,QH,0,2008,GWh
GD,QH,0,2008,GWh
GX,QH,0,2008,GWh
HI,QH,0,2008,GWh
CQ,QH,0,2008,GWh
SC,QH,0,2008,GWh
GZ,QH,0,2008,GWh
YN,QH,0,2008,GWh
SN,QH,0,2008,GWh
GS,QH,2224.33,2008,GWh
QH,QH,0,2008,GWh
NX,QH,0,2008,GWh
XJ,QH,0,2008,GWh
BJ,NX,0,2008,GWh
TJ,NX,0,2008,GWh
HE,NX,0,2008,GWh
SX,NX,0,2008,GWh
NM,NX,150.72,2008,GWh
LN,NX,0,2008,GWh
JL,NX,0,2008,GWh
HL,NX,0,2008,GWh
SH,NX,0,2008,GWh
JS,NX,0,2008,GWh
ZJ,NX,0,2008,GWh
AH,NX,0,2008,GWh
FJ,NX,0,2008,GWh
JX,NX,0,2008,GWh
SD,NX,0,2008,GWh
HA,NX,0,2008,GWh
HB,NX,0,2008,GWh
HN,NX,0,2008,GWh
GD,NX,0,2008,GWh
GX,NX,0,2008,GWh
HI,NX,0,2008,GWh
CQ,NX,0,2008,GWh
SC,NX,0,2008,GWh
GZ,NX,0,2008,GWh
YN,NX,0,2008,GWh
SN,NX,0,2008,GWh
GS,NX,1118.78,2008,GWh
QH,NX,780.9875,2008,GWh
NX,NX,0,2008,GWh
XJ,NX,0,2008,GWh
BJ,XJ,0,2008,GWh
TJ,XJ,0,2008,GWh
HE,XJ,0,2008,GWh
SX,XJ,0,2008,GWh
NM,XJ,0,2008,GWh
LN,XJ,0,2008,GWh
JL,XJ,0,2008,GWh
HL,XJ,0,2008,GWh
SH,XJ,0,2008,GWh
JS,XJ,0,2008,GWh
ZJ,XJ,0,2008,GWh
AH,XJ,0,2008,GWh
FJ,XJ,0,2008,GWh
JX,XJ,0,2008,GWh
SD,XJ,0,2008,GWh
HA,XJ,0,2008,GWh
HB,XJ,0,2008,GWh
HN,XJ,0,2008,GWh
GD,XJ,0,2008,GWh
GX,XJ,0,2008,GWh
HI,XJ,0,2008,GWh
CQ,XJ,0,2008,GWh
SC,XJ,0,2008,GWh
GZ,XJ,0,2008,GWh
YN,XJ,0,2008,GWh
SN,XJ,0,2008,GWh
GS,XJ,0,2008,GWh
QH,XJ,780.9875,2008,GWh
NX,XJ,0,2008,GWh
XJ,XJ,0,2008,GWh
BJ,Export,0,2008,GWh
TJ,Export,0,2008,GWh
HE,Export,0,2008,GWh
SX,Export,0,2008,GWh
NM,Export,0,2008,GWh
LN,Export,0,2008,GWh
JL,Export,2.52,2008,GWh
HL,Export,0,2008,GWh
SH,Export,0,2008,GWh
JS,Export,0,2008,GWh
ZJ,Export,0,2008,GWh
AH,Export,0,2008,GWh
FJ,Export,0,2008,GWh
JX,Export,0,2008,GWh
SD,Export,0,2008,GWh
HA,Export,0,2008,GWh
HB,Export,0,2008,GWh
HN,Export,0,2008,GWh
GD,Export,13586.94,2008,GWh
GX,Export,113.83,2008,GWh
HI,Export,0,2008,GWh
CQ,Export,0,2008,GWh
SC,Export,0,2008,GWh
GZ,Export,0,2008,GWh
YN,Export,3155.74,2008,GWh
SN,Export,0,2008,GWh
GS,Export,0,2008,GWh
QH,Export,0,2008,GWh
NX,Export,0,2008,GWh
XJ,Export,0,2008,GWh
BJ,BJ,0,2009,GWh
TJ,BJ,4212.48,2009,GWh
HE,BJ,0,2009,GWh
SX,BJ,47158.55,2009,GWh
NM,BJ,17037.895,2009,GWh
LN,BJ,1745.6525,2009,GWh
JL,BJ,34.39,2009,GWh
HL,BJ,0,2009,GWh
SH,BJ,0,2009,GWh
JS,BJ,0,2009,GWh
ZJ,BJ,0,2009,GWh
AH,BJ,0,2009,GWh
FJ,BJ,0,2009,GWh
JX,BJ,0,2009,GWh
SD,BJ,0,2009,GWh
HA,BJ,0,2009,GWh
HB,BJ,0,2009,GWh
HN,BJ,0,2009,GWh
GD,BJ,0,2009,GWh
GX,BJ,0,2009,GWh
HI,BJ,0,2009,GWh
CQ,BJ,0,2009,GWh
SC,BJ,0,2009,GWh
GZ,BJ,0,2009,GWh
YN,BJ,0,2009,GWh
SN,BJ,0,2009,GWh
GS,BJ,0,2009,GWh
QH,BJ,0,2009,GWh
NX,BJ,0,2009,GWh
XJ,BJ,0,2009,GWh
BJ,TJ,0,2009,GWh
TJ,TJ,0,2009,GWh
HE,TJ,0,2009,GWh
SX,TJ,0,2009,GWh
NM,TJ,17037.895,2009,GWh
LN,TJ,1745.6525,2009,GWh
JL,TJ,0,2009,GWh
HL,TJ,0,2009,GWh
SH,TJ,0,2009,GWh
JS,TJ,0,2009,GWh
ZJ,TJ,0,2009,GWh
AH,TJ,0,2009,GWh
FJ,TJ,0,2009,GWh
JX,TJ,0,2009,GWh
SD,TJ,0,2009,GWh
HA,TJ,0,2009,GWh
HB,TJ,0,2009,GWh
HN,TJ,0,2009,GWh
GD,TJ,0,2009,GWh
GX,TJ,0,2009,GWh
HI,TJ,0,2009,GWh
CQ,TJ,0,2009,GWh
SC,TJ,0,2009,GWh
GZ,TJ,0,2009,GWh
YN,TJ,0,2009,GWh
SN,TJ,0,2009,GWh
GS,TJ,0,2009,GWh
QH,TJ,0,2009,GWh
NX,TJ,0,2009,GWh
XJ,TJ,0,2009,GWh
BJ,HE,0.09,2009,GWh
TJ,HE,0,2009,GWh
HE,HE,0,2009,GWh
SX,HE,0,2009,GWh
NM,HE,17037.895,2009,GWh
