# File: ABSPI_intra_province_electricity_trade.csv
# Title: Intraprovince electricity trade
# Units: GWh
# Comments: obtained from Annual Book of Statistics for Power Industry from 2005 to 2019 preprocessed from original data format in Chinese
# Column types: ccnic
# ----------
from.region,to.region,value,year,units
HN,LN,0,2005,GWh
GD,LN,0,2005,GWh
GX,LN,0,2005,GWh
HI,LN,0,2005,GWh
CQ,LN,0,2005,GWh
SC,LN,0,2005,GWh
GZ,LN,0,2005,GWh
YN,LN,0,2005,GWh
SN,LN,0,2005,GWh
GS,LN,0,2005,GWh
QH,LN,0,2005,GWh
NX,LN,0,2005,GWh
XJ,LN,0,2005,GWh
BJ,JL,0,2005,GWh
TJ,JL,0,2005,GWh
HE,JL,0,2005,GWh
SX,JL,0,2005,GWh
NM,JL,4550.19,2005,GWh
LN,JL,9.98,2005,GWh
JL,JL,0,2005,GWh
HL,JL,10977.69,2005,GWh
SH,JL,0,2005,GWh
JS,JL,0,2005,GWh
ZJ,JL,0,2005,GWh
AH,JL,0,2005,GWh
FJ,JL,0,2005,GWh
JX,JL,0,2005,GWh
SD,JL,0,2005,GWh
HA,JL,0,2005,GWh
HB,JL,0,2005,GWh
HN,JL,0,2005,GWh
GD,JL,0,2005,GWh
GX,JL,0,2005,GWh
HI,JL,0,2005,GWh
CQ,JL,0,2005,GWh
SC,JL,0,2005,GWh
GZ,JL,0,2005,GWh
YN,JL,0,2005,GWh
SN,JL,0,2005,GWh
GS,JL,0,2005,GWh
QH,JL,0,2005,GWh
NX,JL,0,2005,GWh
XJ,JL,0,2005,GWh
BJ,HL,0,2005,GWh
TJ,HL,0,2005,GWh
HE,HL,0,2005,GWh
SX,HL,0,2005,GWh
NM,HL,4550.19,2005,GWh
LN,HL,0,2005,GWh
JL,HL,129.9,2005,GWh
HL,HL,0,2005,GWh
SH,HL,0,2005,GWh
JS,HL,0,2005,GWh
ZJ,HL,0,2005,GWh
AH,HL,0,2005,GWh
FJ,HL,0,2005,GWh
JX,HL,0,2005,GWh
SD,HL,0,2005,GWh
HA,HL,0,2005,GWh
HB,HL,0,2005,GWh
HN,HL,0,2005,GWh
GD,HL,0,2005,GWh
GX,HL,0,2005,GWh
HI,HL,0,2005,GWh
CQ,HL,0,2005,GWh
SC,HL,0,2005,GWh
GZ,HL,0,2005,GWh
YN,HL,0,2005,GWh
SN,HL,0,2005,GWh
GS,HL,0,2005,GWh
QH,HL,0,2005,GWh
NX,HL,0,2005,GWh
XJ,HL,0,2005,GWh
BJ,SH,0,2005,GWh
TJ,SH,0,2005,GWh
HE,SH,0,2005,GWh
SX,SH,0,2005,GWh
NM,SH,0,2005,GWh
LN,SH,0,2005,GWh
JL,SH,0,2005,GWh
HL,SH,0,2005,GWh
SH,SH,0,2005,GWh
JS,SH,11640.79,2005,GWh
ZJ,SH,2265.02,2005,GWh
AH,SH,0,2005,GWh
FJ,SH,0,2005,GWh
JX,SH,0,2005,GWh
SD,SH,0,2005,GWh
HA,SH,0,2005,GWh
HB,SH,6741.52,2005,GWh
HN,SH,0,2005,GWh
GD,SH,0,2005,GWh
GX,SH,0,2005,GWh
HI,SH,0,2005,GWh
CQ,SH,0,2005,GWh
SC,SH,0,2005,GWh
GZ,SH,0,2005,GWh
YN,SH,0,2005,GWh
SN,SH,0,2005,GWh
GS,SH,0,2005,GWh
QH,SH,0,2005,GWh
NX,SH,0,2005,GWh
XJ,SH,0,2005,GWh
BJ,JS,0,2005,GWh
TJ,JS,0,2005,GWh
HE,JS,0,2005,GWh
SX,JS,11604.07,2005,GWh
NM,JS,0,2005,GWh
LN,JS,0,2005,GWh
JL,JS,0,2005,GWh
HL,JS,0,2005,GWh
SH,JS,13.89,2005,GWh
JS,JS,0,2005,GWh
ZJ,JS,35.76,2005,GWh
AH,JS,1500.33,2005,GWh
FJ,JS,0,2005,GWh
JX,JS,0,2005,GWh
SD,JS,0,2005,GWh
HA,JS,0,2005,GWh
HB,JS,20344.18,2005,GWh
HN,JS,0,2005,GWh
GD,JS,0,2005,GWh
GX,JS,0,2005,GWh
HI,JS,0,2005,GWh
CQ,JS,0,2005,GWh
SC,JS,0,2005,GWh
GZ,JS,0,2005,GWh
YN,JS,0,2005,GWh
SN,JS,0,2005,GWh
GS,JS,0,2005,GWh
QH,JS,0,2005,GWh
NX,JS,0,2005,GWh
XJ,JS,0,2005,GWh
BJ,ZJ,0,2005,GWh
TJ,ZJ,0,2005,GWh
HE,ZJ,0,2005,GWh
SX,ZJ,0,2005,GWh
NM,ZJ,0,2005,GWh
LN,ZJ,0,2005,GWh
JL,ZJ,0,2005,GWh
HL,ZJ,0,2005,GWh
SH,ZJ,2018.97,2005,GWh
JS,ZJ,12313.1,2005,GWh
ZJ,ZJ,0,2005,GWh
AH,ZJ,5836.96,2005,GWh
FJ,ZJ,2664.23,2005,GWh
JX,ZJ,0,2005,GWh
SD,ZJ,0,2005,GWh
HA,ZJ,0,2005,GWh
HB,ZJ,0,2005,GWh
HN,ZJ,0,2005,GWh
GD,ZJ,0,2005,GWh
GX,ZJ,0,2005,GWh
HI,ZJ,0,2005,GWh
CQ,ZJ,0,2005,GWh
SC,ZJ,0,2005,GWh
GZ,ZJ,0,2005,GWh
YN,ZJ,0,2005,GWh
SN,ZJ,0,2005,GWh
GS,ZJ,0,2005,GWh
QH,ZJ,0,2005,GWh
NX,ZJ,0,2005,GWh
XJ,ZJ,0,2005,GWh
BJ,AH,0,2005,GWh
TJ,AH,0,2005,GWh
HE,AH,0,2005,GWh
SX,AH,0,2005,GWh
NM,AH,0,2005,GWh
LN,AH,0,2005,GWh
JL,AH,0,2005,GWh
HL,AH,0,2005,GWh
SH,AH,0,2005,GWh
JS,AH,638.87,2005,GWh
ZJ,AH,25.29,2005,GWh
AH,AH,0,2005,GWh
FJ,AH,0,2005,GWh
JX,AH,0,2005,GWh
SD,AH,0,2005,GWh
HA,AH,0,2005,GWh
HB,AH,0,2005,GWh
HN,AH,0,2005,GWh
GD,AH,0,2005,GWh
GX,AH,0,2005,GWh
HI,AH,0,2005,GWh
CQ,AH,0,2005,GWh
SC,AH,0,2005,GWh
GZ,AH,0,2005,GWh
YN,AH,0,2005,GWh
SN,AH,0,2005,GWh
GS,AH,0,2005,GWh
QH,AH,0,2005,GWh
NX,AH,0,2005,GWh
XJ,AH,0,2005,GWh
BJ,FJ,0,2005,GWh
TJ,FJ,0,2005,GWh
HE,FJ,0,2005,GWh
SX,FJ,0,2005,GWh
NM,FJ,0,2005,GWh
LN,FJ,0,2005,GWh
JL,FJ,0,2005,GWh
HL,FJ,0,2005,GWh
SH,FJ,0,2005,GWh
JS,FJ,0,2005,GWh
ZJ,FJ,497.56,2005,GWh
AH,FJ,0,2005,GWh
FJ,FJ,0,2005,GWh
JX,FJ,0,2005,GWh
SD,FJ,0,2005,GWh
HA,FJ,0,2005,GWh
HB,FJ,0,2005,GWh
HN,FJ,0,2005,GWh
GD,FJ,0,2005,GWh
GX,FJ,0,2005,GWh
HI,FJ,0,2005,GWh
CQ,FJ,0,2005,GWh
SC,FJ,0,2005,GWh
GZ,FJ,0,2005,GWh
YN,FJ,0,2005,GWh
SN,FJ,0,2005,GWh
GS,FJ,0,2005,GWh
QH,FJ,0,2005,GWh
NX,FJ,0,2005,GWh
XJ,FJ,0,2005,GWh
BJ,JX,0,2005,GWh
TJ,JX,0,2005,GWh
HE,JX,0,2005,GWh
SX,JX,0,2005,GWh
NM,JX,0,2005,GWh
LN,JX,0,2005,GWh
JL,JX,0,2005,GWh
HL,JX,0,2005,GWh
SH,JX,0,2005,GWh
JS,JX,0,2005,GWh
ZJ,JX,0,2005,GWh
AH,JX,0,2005,GWh
