# File: province_decile_gdp_per_capita_projections.csv
# Title: province-level decile of gdp per capita projections under scenarios
# Units: NA
# Comments: note the pop and gdp are not updated so leave them as blank
# Source: https://github.com/JGCRI/pridr, China Statistical Yearbook
# Column types: ccicnccnnn
# ----------
province_code,province,year,sce,shares,category,gcam.consumer,decile_pop,decile_gdp,decile_gdp_pc
AH,Anhui,2020,SSP1,0.096374561,d7,resid_urban,,,
AH,Anhui,2020,SSP5,0.096536047,d7,resid_urban,,,
AH,Anhui,2020,SSP4,0.112688563,d8,resid_urban,,,
AH,Anhui,2020,SSP3,0.112769422,d8,resid_urban,,,
AH,Anhui,2020,SSP2,0.112858461,d8,resid_urban,,,
AH,Anhui,2020,SSP1,0.112983637,d8,resid_urban,,,
AH,Anhui,2020,SSP5,0.113045801,d8,resid_urban,,,
AH,Anhui,2020,SSP5,0.142517533,d9,resid_urban,,,
AH,Anhui,2020,SSP1,0.142662954,d9,resid_urban,,,
AH,Anhui,2020,SSP2,0.143005558,d9,resid_urban,,,
AH,Anhui,2020,SSP3,0.143254243,d9,resid_urban,,,
AH,Anhui,2020,SSP4,0.143544263,d9,resid_urban,,,
AH,Anhui,2025,SSP4,0.030567428,d1,resid_urban,,,
AH,Anhui,2025,SSP3,0.031404677,d1,resid_urban,,,
AH,Anhui,2025,SSP2,0.032321355,d1,resid_urban,,,
AH,Anhui,2025,SSP1,0.033613315,d1,resid_urban,,,
AH,Anhui,2025,SSP5,0.03429452,d1,resid_urban,,,
AH,Anhui,2025,SSP5,0.272427843,d10,resid_urban,,,
AH,Anhui,2025,SSP1,0.277157856,d10,resid_urban,,,
AH,Anhui,2025,SSP2,0.286080119,d10,resid_urban,,,
AH,Anhui,2025,SSP3,0.292442386,d10,resid_urban,,,
AH,Anhui,2025,SSP4,0.298220289,d10,resid_urban,,,
AH,Anhui,2025,SSP4,0.046114406,d2,resid_urban,,,
AH,Anhui,2025,SSP3,0.047166179,d2,resid_urban,,,
AH,Anhui,2025,SSP2,0.048319213,d2,resid_urban,,,
AH,Anhui,2025,SSP1,0.049942466,d2,resid_urban,,,
AH,Anhui,2025,SSP5,0.050799397,d2,resid_urban,,,
AH,Anhui,2025,SSP4,0.055610223,d3,resid_urban,,,
AH,Anhui,2025,SSP3,0.056689123,d3,resid_urban,,,
AH,Anhui,2025,SSP2,0.057873043,d3,resid_urban,,,
AH,Anhui,2025,SSP1,0.059538365,d3,resid_urban,,,
AH,Anhui,2025,SSP5,0.060418316,d3,resid_urban,,,
AH,Anhui,2025,SSP4,0.064135946,d4,resid_urban,,,
AH,Anhui,2025,SSP3,0.06517387,d4,resid_urban,,,
AH,Anhui,2025,SSP2,0.066313992,d4,resid_urban,,,
AH,Anhui,2025,SSP1,0.067916271,d4,resid_urban,,,
