# File: irrigation_shares_0p5degree.csv
# Title: Volume of water withdrawals at individual basin-province combinations for 2010 as calculated from Khan et al. (2023) data and then calibrate based on Water resources Bulletin
# Units: km^3
# Comments: NA
# Column types: nccnn
# ----------
GCAM_basin_ID,basin_name,state_abbr,year,volume
79,HuangHeR,SD,1975,2.699225245
79,HuangHeR,SD,1990,2.699225245
79,HuangHeR,SD,2005,2.699225245
79,HuangHeR,SD,2010,2.699225245
79,HuangHeR,SN,1975,5.133765731
79,HuangHeR,SN,1990,5.133765731
79,HuangHeR,SN,2005,5.133765731
79,HuangHeR,SN,2010,5.133765731
79,HuangHeR,SX,1975,2.328666391
79,HuangHeR,SX,1990,2.328666391
79,HuangHeR,SX,2005,2.328666391
79,HuangHeR,SX,2010,2.328666391
85,Tarim,GS,1975,0.222066553
85,Tarim,GS,1990,0.222066553
85,Tarim,GS,2005,0.222066553
85,Tarim,GS,2010,0.222066553
85,Tarim,QH,1975,0.47987843
85,Tarim,QH,1990,0.47987843
85,Tarim,QH,2005,0.47987843
85,Tarim,QH,2010,0.47987843
85,Tarim,XJ,1975,30.46602749
85,Tarim,XJ,1990,30.46602749
85,Tarim,XJ,2005,30.46602749
85,Tarim,XJ,2010,30.46602749
85,Tarim,XZ,1975,1.60E-05
85,Tarim,XZ,1990,1.60E-05
85,Tarim,XZ,2005,1.60E-05
85,Tarim,XZ,2010,1.60E-05
89,IndusR,XJ,1975,1.58E-06
89,IndusR,XJ,1990,1.58E-06
89,IndusR,XJ,2005,1.58E-06
89,IndusR,XJ,2010,1.58E-06
89,IndusR,XZ,1975,0.003366421
89,IndusR,XZ,1990,0.003366421
89,IndusR,XZ,2005,0.003366421
89,IndusR,XZ,2010,0.003366421
92,Tibet,QH,1975,1.15E-05
92,Tibet,QH,1990,1.15E-05
92,Tibet,QH,2005,1.15E-05
92,Tibet,QH,2010,1.15E-05
92,Tibet,XZ,1975,0.00476111
92,Tibet,XZ,1990,0.00476111
92,Tibet,XZ,2005,0.00476111
92,Tibet,XZ,2010,0.00476111
106,Yangtze,AH,1975,14.92350215
106,Yangtze,AH,1990,14.92350215
106,Yangtze,AH,2005,14.92350215
106,Yangtze,AH,2010,14.92350215
106,Yangtze,CQ,1975,2.153898
106,Yangtze,CQ,1990,2.153898
106,Yangtze,CQ,2005,2.153898
106,Yangtze,CQ,2010,2.153898
106,Yangtze,GS,1975,0.371034669
106,Yangtze,GS,1990,0.371034669
106,Yangtze,GS,2005,0.371034669
106,Yangtze,GS,2010,0.371034669
106,Yangtze,GX,1975,1.424186735
106,Yangtze,GX,1990,1.424186735
106,Yangtze,GX,2005,1.424186735
106,Yangtze,GX,2010,1.424186735
106,Yangtze,GZ,1975,3.74673935
106,Yangtze,GZ,1990,3.74673935
106,Yangtze,GZ,2005,3.74673935
106,Yangtze,GZ,2010,3.74673935
106,Yangtze,HA,1975,7.194538886
106,Yangtze,HA,1990,7.194538886
106,Yangtze,HA,2005,7.194538886
106,Yangtze,HA,2010,7.194538886
106,Yangtze,HB,1975,14.953301
106,Yangtze,HB,1990,14.953301
106,Yangtze,HB,2005,14.953301
106,Yangtze,HB,2010,14.953301
106,Yangtze,HN,1975,17.92370528
106,Yangtze,HN,1990,17.92370528
106,Yangtze,HN,2005,17.92370528
106,Yangtze,HN,2010,17.92370528
106,Yangtze,JS,1975,7.303481058
106,Yangtze,JS,1990,7.303481058
106,Yangtze,JS,2005,7.303481058
106,Yangtze,JS,2010,7.303481058
106,Yangtze,JX,1975,14.71644641
106,Yangtze,JX,1990,14.71644641
106,Yangtze,JX,2005,14.71644641
106,Yangtze,JX,2010,14.71644641
106,Yangtze,QH,1975,0
106,Yangtze,QH,1990,0
106,Yangtze,QH,2005,0
106,Yangtze,QH,2010,0
106,Yangtze,SC,1975,14.15036018
106,Yangtze,SC,1990,14.15036018
106,Yangtze,SC,2005,14.15036018
106,Yangtze,SC,2010,14.15036018
106,Yangtze,SD,1975,0.117271892
106,Yangtze,SD,1990,0.117271892
106,Yangtze,SD,2005,0.117271892
106,Yangtze,SD,2010,0.117271892
106,Yangtze,SN,1975,0.397737269
106,Yangtze,SN,1990,0.397737269
106,Yangtze,SN,2005,0.397737269
106,Yangtze,SN,2010,0.397737269
106,Yangtze,XZ,1975,0.01147869
106,Yangtze,XZ,1990,0.01147869
106,Yangtze,XZ,2005,0.01147869
106,Yangtze,XZ,2010,0.01147869
106,Yangtze,YN,1975,1.618484026
106,Yangtze,YN,1990,1.618484026
106,Yangtze,YN,2005,1.618484026
106,Yangtze,YN,2010,1.618484026
108,XunJiang,GD,1975,8.615106191
108,XunJiang,GD,1990,8.615106191
108,XunJiang,GD,2005,8.615106191
108,XunJiang,GD,2010,8.615106191
108,XunJiang,GX,1975,13.89346802
108,XunJiang,GX,1990,13.89346802
108,XunJiang,GX,2005,13.89346802
108,XunJiang,GX,2010,13.89346802
108,XunJiang,GZ,1975,1.23881065
108,XunJiang,GZ,1990,1.23881065
108,XunJiang,GZ,2005,1.23881065
108,XunJiang,GZ,2010,1.23881065
108,XunJiang,HN,1975,0.395364125
108,XunJiang,HN,1990,0.395364125
108,XunJiang,HN,2005,0.395364125
108,XunJiang,HN,2010,0.395364125
108,XunJiang,YN,1975,1.520070443
108,XunJiang,YN,1990,1.520070443
108,XunJiang,YN,2005,1.520070443
108,XunJiang,YN,2010,1.520070443
109,Hong,YN,1975,2.125342313
109,Hong,YN,1990,2.125342313
109,Hong,YN,2005,2.125342313
109,Hong,YN,2010,2.125342313
110,GangesR,XZ,1975,2.209764596
110,GangesR,XZ,1990,2.209764596
110,GangesR,XZ,2005,2.209764596
110,GangesR,XZ,2010,2.209764596
112,SChinaSea,GD,1975,4.364618553
112,SChinaSea,GD,1990,4.364618553
112,SChinaSea,GD,2005,4.364618553
112,SChinaSea,GD,2010,4.364618553
112,SChinaSea,GX,1975,4.128639541
112,SChinaSea,GX,1990,4.128639541
112,SChinaSea,GX,2005,4.128639541
112,SChinaSea,GX,2010,4.128639541
124,Hainan,HI,1975,3.30515
124,Hainan,HI,1990,3.30515
124,Hainan,HI,2005,3.30515
124,Hainan,HI,2010,3.30515
125,Mekong,QH,1975,0.069650995
125,Mekong,QH,1990,0.069650995
125,Mekong,QH,2005,0.069650995
125,Mekong,QH,2010,0.069650995
125,Mekong,XZ,1975,0.295022988
125,Mekong,XZ,1990,0.295022988
125,Mekong,XZ,2005,0.295022988
125,Mekong,XZ,2010,0.295022988
125,Mekong,YN,1975,2.209237922
125,Mekong,YN,1990,2.209237922
125,Mekong,YN,2005,2.209237922
125,Mekong,YN,2010,2.209237922
127,Salween,XZ,1975,0.102369308
127,Salween,XZ,1990,0.102369308
127,Salween,XZ,2005,0.102369308
127,Salween,XZ,2010,0.102369308
127,Salween,YN,1975,1.015303719
127,Salween,YN,1990,1.015303719
127,Salween,YN,2005,1.015303719
127,Salween,YN,2010,1.015303719
137,IrrawaddyR,XZ,1975,0.075167054
137,IrrawaddyR,XZ,1990,0.075167054
137,IrrawaddyR,XZ,2005,0.075167054
137,IrrawaddyR,XZ,2010,0.075167054
137,IrrawaddyR,YN,1975,1.160234777
137,IrrawaddyR,YN,1990,1.160234777
137,IrrawaddyR,YN,2005,1.160234777
137,IrrawaddyR,YN,2010,1.160234777
37,RusCstSE,HL,2015,0.103771151
37,RusCstSE,JL,2015,0.384306761
42,Gobi,GS,2015,3.870099743
42,Gobi,NM,2015,1.779158045
42,Gobi,QH,2015,0.006356475
42,Gobi,XJ,2015,18.02252612
43,AmurR,HL,2015,30.68087187
43,AmurR,JL,2015,4.728394748
43,AmurR,NM,2015,0.524508427
56,ObR,XJ,2015,1.093961165
66,BoHai,HE,2015,0.178659883
66,BoHai,JL ,2015,3.274250421
66,BoHai,LN,2015,8.369376244
66,BoHai,NM,2015,4.965371806
68,LBalkash,XJ,2015,4.753843978
77,ZiyaHe,BJ,2015,0.5902693
