# File: A72.globaltech_coef.csv
# Title: Irrigation water abstraction energy-for-water coefficients
# Units: GJ of energy per cubic meter of water (GJ/m3)
# Source: YO set as very low value to turn it off for GCAMChina
# Column types: ccccnnn
supplysector,subsector,technology,minicam.energy.input,1971,2015,2100
irrigation water abstraction,electricity,electricity,elect_td_ind,1.00E-08,1.00E-08,1.00E-08
