# File: A74.globaltech_coef.csv
# Title: Municipal energy-for-water technology coefficients
# Units: GJ of energy per cubic meter of water (GJ/m3)
# Source: YO set as very low value to turn it off for GCAMChina
# Column types: ccccnnn
supplysector,subsector,technology,minicam.energy.input,1971,2015,2100
municipal water abstraction,electricity,electricity,elect_td_bld,1.00E-08,1.00E-08,1.00E-08
municipal water treatment,electricity,electricity,elect_td_bld,1.00E-08,1.00E-08,1.00E-08
municipal water distribution,electricity,electricity,elect_td_bld,1.00E-08,1.00E-08,1.00E-08
municipal wastewater treatment,electricity,electricity,elect_td_bld,1.00E-08,1.00E-08,1.00E-08
