scenario,region,sector,subsector,output,technology,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Units
"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00",AH,H2 wholesale dispensing,H2 delivery,H2 wholesale dispensing,H2 liquid truck,0,0,0,0,0,3.81E-04,9.51E-04,0.00206788,0.00253464,0.00257261,0.00288476,0.00351699,0.00737887,0,0,0,0,0,0,0,0,EJ
"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00",AH,H2 wholesale dispensing,H2 delivery,H2 wholesale dispensing,H2 pipeline,0,0,0,0,0,1.72E-04,0.0017037,0.00358975,0.00426271,0.00425382,0.0046901,0.005612,0.0119635,0,0,0,0,0,0,0,0,EJ
"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00",AH,H2 wholesale dispensing,forecourt production,H2 wholesale dispensing,electrolysis,0,0,0.00E+00,0.00E+00,0.00E+00,9.74E-06,3.93E-05,9.28E-05,1.33E-04,1.49E-04,1.74E-04,2.17E-04,5.46E-04,0.00E+00,0.00E+00,0.00E+00,0,0,0,0,0,EJ
"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00",AH,H2 wholesale dispensing,forecourt production,H2 wholesale dispensing,natural gas steam reforming,0,0,0,0,0,6.51E-04,2.67E-03,6.57E-03,9.72E-03,1.14E-02,1.21E-02,1.18E-02,7.58E-03,0.00E+00,0.00E+00,0.00E+00,0,0,0,0,0,EJ
"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00",AH,N fertilizer,coal,N fertilizer,coal,0.277645,0.259169,0.516673,0.529488,0.5653368,0.5890643,0.5924963,0.5165524,0.3569854,0.25143985,0.17598458,0.101260713,1.83E-02,0.00E+00,0.00E+00,0.00E+00,0,0,0,0,0,Mt N
"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00",AH,N fertilizer,coal,N fertilizer,coal CCS,0,0,0,0,0,0.00894259,0.02101523,0.09182587,0.25590103,0.375057,0.44987779,0.502202089,0.493305543,0,0,0,0,0,0,0,0,Mt N
"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00",AH,N fertilizer,gas,N fertilizer,gas,0.0793271,7.40E-02,0.147621,0.151282,0.1607122,0.1724235,0.1820295,0.19681444,0.19647883,0.18951302,0.174506152,0.139588858,0.089164029,0,0,0,0,0,0,0,0,Mt N
"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00",AH,N fertilizer,gas,N fertilizer,gas CCS,0,0,0,0,0,8.25E-04,0.002807977,0.012713822,0.035762732,0.059376109,0.081926648,0.125620183,0.189276344,0,0,0,0,0,0,0,0,Mt N
"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00",AH,N fertilizer,hydrogen,N fertilizer,hydrogen,0,0,0,0,0,0.00147559,0.01194653,0.04623602,0.09765339,0.142585535,0.183792804,0.21845885,0.273050107,0,0,0,0,0,0,0,0,Mt N
"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00",AH,N fertilizer,refined liquids,N fertilizer,refined liquids,0.0396636,3.70E-02,7.38E-02,0.0756411,0.07680657,0.08076027,0.07564466,0.05245075,0.02630033,0.01188379,0.00480181,0.001271301,1.79E-04,0.00E+00,0,0,0,0,0,0,0,Mt N
