"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00",AH,base load generation,biomass,biomass_base_conv_CCS,0,0,0,0,0.00E+00,0.0151491,0.02041245,0.04009516,0.06092355,0.09355925,0.16364025,0.34420425,0.63232723,0,0,0,0,0,0,0,0,MTC
"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00",AH,base load generation,coal,coal_base_IGCC,0,0,0,0,3.88398,5.71798,6.74323,7.94143,8.165307,7.984873,7.457774,3.418374,0.09119419,0,0,0,0,0,0,0,0,MTC
"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00",AH,base load generation,coal,coal_base_IGCC_CCS,0,0,0,0,0,0.127605,0.1818448,0.2695917,0.3126011,0.3487098,0.3942233,0.5034173,0.593982,0,0,0,0,0,0,0,0,MTC
"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00",AH,base load generation,coal,coal_base_conv pul,3.65604,11.9027,22.4823,30.6467,34.2988,35.44763,34.99011,33.83579,30.082057,24.615783,18.586732,5.806647,0.10189884,0,0,0,0,0,0,0,0,MTC
"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00",AH,base load generation,coal,coal_base_conv pul_CCS,0,0,0,0,0,0.174924,0.2447097,0.351569,0.4015058,0.4418048,0.4912016,0.6059527,0.6893482,0,0,0,0,0,0,0,0,MTC
"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00",AH,base load generation,gas,gas_base_CC,0,0.0306435,0.00985188,0.0722611,9.33E-02,0.1177605,0.1264164,0.1373217,0.12922793,0.12299668,0.11966431,0.11747321,0.02985261,0,0,0,0,0,0,0,0,MTC
"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00",AH,base load generation,gas,gas_base_CC_CCS,0,0,0,0,0.00E+00,0.00178615,0.00247634,0.003751993,0.004285133,0.004760771,0.005378021,0.007366529,0.009565291,0,0,0,0,0,0,0,0,MTC
"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00",AH,base load generation,refined liquids,refined liquids_base_steam/CT,0.0655343,0.0191369,0.0059646,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,MTC
"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00",AH,biomass liquids,biomass liquids,BTL with hydrogen,0,0,0,0,0,0.00129412,0.00627813,0.00558194,0.00699928,0.00901571,0.0113381,0.00607124,0.00111894,0,0,0,0,0,0,0,0,MTC
"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00",AH,biomass liquids,biomass liquids,FT biofuels,0,0,0,0,0.262163,0.55561,0.776986,1.023767,1.381889,1.745272,2.003529,1.8890412,1.6394217,0,0,0,0,0,0,0,0,MTC
"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00",AH,biomass liquids,biomass liquids,FT biofuels CCS level 1,0,0,0,0,0,0.0230748,0.0416434,0.0730592,0.1540429,0.2876675,0.4593804,0.5427213,0.53478475,0,0,0,0,0,0,0,0,MTC
