"region","sector","Year","co2.emiss","scenario"
"CQ","base load generation","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"FJ","base load generation","1990",1.4158353,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"GD","base load generation","1990",9.09396,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"GS","base load generation","1990",1.5655011,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"GX","base load generation","1990",1.0803284,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"GZ","base load generation","1990",1.66299432,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"HA","base load generation","1990",5.1019347,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"HB","base load generation","1990",2.112525,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"HE","base load generation","1990",7.1197198,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"HI","base load generation","1990",0.276424,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"HL","base load generation","1990",5.4187126,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"HN","base load generation","1990",1.6556528,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"JL","base load generation","1990",2.785228,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"JS","base load generation","1990",8.326994,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"JX","base load generation","1990",1.2877169,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"LN","base load generation","1990",7.30300157,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"NM","base load generation","1990",3.4658302,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"NX","base load generation","1990",0.98525766,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"QH","base load generation","1990",0.2053542,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"SC","base load generation","1990",3.5123622,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"SD","base load generation","1990",9.42433853,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"SH","base load generation","1990",5.925043,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"SN","base load generation","1990",2.1332578,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"SX","base load generation","1990",5.94938,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"TJ","base load generation","1990",2.36250618,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"XJ","base load generation","1990",1.0673727,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"XZ","base load generation","1990",0.0186187,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"YN","base load generation","1990",0.989081,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"ZJ","base load generation","1990",3.767902,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"AH","cement","1990",1.36541,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"BJ","cement","1990",0.713932,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"CQ","cement","1990",0.729326,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"FJ","cement","1990",0.425181,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"GD","cement","1990",1.05917,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"GS","cement","1990",0.431625,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"GX","cement","1990",0.689972,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"GZ","cement","1990",0.778456,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"HA","cement","1990",1.23998,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"HB","cement","1990",1.54961,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"HE","cement","1990",2.11937,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"HI","cement","1990",0.0241528,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"HL","cement","1990",0.8529,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"HN","cement","1990",1.2838,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"JL","cement","1990",1.01871,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"JS","cement","1990",1.61358,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"JX","cement","1990",0.585331,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"LN","cement","1990",2.95712,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"NM","cement","1990",0.874816,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"NX","cement","1990",0.129216,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"QH","cement","1990",0.0781,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"SC","cement","1990",1.30002,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"SD","cement","1990",1.55971,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"SH","cement","1990",0.82751,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"SN","cement","1990",0.665241,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"SX","cement","1990",1.73321,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"TJ","cement","1990",0.425794,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"XJ","cement","1990",0.169348,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"XZ","cement","1990",0.0167207,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"YN","cement","1990",0.654777,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"ZJ","cement","1990",0.933923,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"AH","chemical energy use","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"BJ","chemical energy use","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"CQ","chemical energy use","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"FJ","chemical energy use","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"GD","chemical energy use","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"GS","chemical energy use","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"GX","chemical energy use","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"GZ","chemical energy use","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"HA","chemical energy use","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"HB","chemical energy use","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"HE","chemical energy use","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"HI","chemical energy use","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"HL","chemical energy use","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"HN","chemical energy use","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
